Creating Time,Temperature(℃),Humidity(%),Light(lux),Voltage(V),WIFI RSSI(dBm),GSM RSSI(dBm),EXT1 Temperature(℃),EXT2 Temperature(℃),RS485 Temperature(℃),RS485 Humidity(%)
2021-04-01 18:15:48,,,,4.664681,,,,,,
2021-04-01 18:15:47,,,,5.034452,,,,,,
2021-04-01 18:15:46,,,,5.034987,,,,,,
2021-04-01 18:15:46,,,,5.030172,,,,,,
2021-04-01 18:15:31,,,,5,,,,,,
2021-04-01 18:11:50,,,320.799988,,,,,,,
2021-04-01 18:11:50,,62,,,,,,,,
2021-04-01 18:11:50,24.575417,,,,,,,,,
2021-04-01 18:06:50,,62,,,,,,,,
2021-04-01 18:06:50,24.548714,,,,,,,,,
2021-04-01 18:06:50,,,324.23999,,,,,,,
2021-04-01 18:01:50,,62,,,,,,,,
2021-04-01 18:01:50,,,321.759979,,,,,,,
2021-04-01 18:01:50,24.519341,,,,,,,,,
2021-04-01 17:56:50,24.562065,,,,,,,,,
2021-04-01 17:56:50,,,333.279999,,,,,,,
2021-04-01 17:56:50,,62,,,,,,,,
2021-04-01 17:51:50,,,335.039978,,,,,,,
2021-04-01 17:51:50,24.60479,,,,,,,,,
2021-04-01 17:51:50,,62,,,,,,,,
2021-04-01 17:46:50,24.660866,,,,,,,,,
2021-04-01 17:46:50,,,332.799988,,,,,,,
2021-04-01 17:46:50,,62,,,,,,,,
2021-04-01 17:41:50,24.674217,,,,,,,,,
2021-04-01 17:41:50,,62,,,,,,,,
2021-04-01 17:41:50,,,334.559998,,,,,,,
2021-04-01 17:36:50,,62,,,,,,,,
2021-04-01 17:36:50,24.674217,,,,,,,,,
2021-04-01 17:36:50,,,339.839996,,,,,,,
2021-04-01 17:31:50,24.674217,,,,,,,,,
2021-04-01 17:31:50,,,338.720001,,,,,,,
2021-04-01 17:31:50,,63,,,,,,,,
2021-04-01 17:26:50,,,347.359985,,,,,,,
2021-04-01 17:26:50,,63,,,,,,,,
2021-04-01 17:26:50,24.644844,,,,,,,,,
2021-04-01 17:21:50,24.660866,,,,,,,,,
2021-04-01 17:21:50,,,351.519989,,,,,,,
2021-04-01 17:21:50,,63,,,,,,,,
2021-04-01 17:16:50,24.644844,,,,,,,,,
2021-04-01 17:16:50,,,354.079987,,,,,,,
2021-04-01 17:16:50,,63,,,,,,,,
2021-04-01 17:11:50,24.660866,,,,,,,,,
2021-04-01 17:11:50,,,355.359985,,,,,,,
2021-04-01 17:11:50,,63,,,,,,,,
2021-04-01 17:06:50,,,352.639984,,,,,,,
2021-04-01 17:06:50,,63,,,,,,,,
2021-04-01 17:06:50,24.631493,,,,,,,,,
2021-04-01 17:01:50,24.631493,,,,,,,,,
2021-04-01 17:01:50,,,351.359985,,,,,,,
2021-04-01 17:01:50,,63,,,,,,,,
2021-04-01 16:56:50,,63,,,,,,,,
2021-04-01 16:56:50,24.631493,,,,,,,,,
2021-04-01 16:56:50,,,351.199982,,,,,,,
2021-04-01 16:51:50,,,349.119995,,,,,,,
2021-04-01 16:51:50,,63,,,,,,,,
2021-04-01 16:51:50,24.60479,,,,,,,,,
2021-04-01 16:46:50,24.588768,,,,,,,,,
2021-04-01 16:46:50,,,348.320007,,,,,,,
2021-04-01 16:46:50,,63,,,,,,,,
2021-04-01 16:41:50,24.575417,,,,,,,,,
2021-04-01 16:41:50,,63,,,,,,,,
2021-04-01 16:41:50,,,348.320007,,,,,,,
2021-04-01 16:36:50,,,348.959991,,,,,,,
2021-04-01 16:36:50,,63,,,,,,,,
2021-04-01 16:36:50,24.548714,,,,,,,,,
2021-04-01 16:31:50,24.548714,,,,,,,,,
2021-04-01 16:31:50,,,348.320007,,,,,,,
2021-04-01 16:31:50,,63,,,,,,,,
2021-04-01 16:31:22,,,,5.037663,,,,,,
2021-04-01 16:26:50,,,348.639984,,,,,,,
2021-04-01 16:26:50,24.463264,,,,,,,,,
2021-04-01 16:26:50,,63,,,,,,,,
2021-04-01 16:21:50,,63,,,,,,,,
2021-04-01 16:21:50,,,348.799988,,,,,,,
2021-04-01 16:21:50,24.449913,,,,,,,,,
2021-04-01 16:16:50,,63,,,,,,,,
2021-04-01 16:16:50,,,352.47998,,,,,,,
2021-04-01 16:16:50,24.433891,,,,,,,,,
2021-04-01 16:11:50,,,356,,,,,,,
2021-04-01 16:11:50,,63,,,,,,,,
2021-04-01 16:11:50,24.407188,,,,,,,,,
2021-04-01 16:06:50,,,361.759979,,,,,,,
2021-04-01 16:06:50,24.335091,,,,,,,,,
2021-04-01 16:06:50,,63,,,,,,,,
2021-04-01 16:01:50,,63,,,,,,,,
2021-04-01 16:01:50,24.292366,,,,,,,,,
2021-04-01 16:01:50,,,374.079987,,,,,,,
2021-04-01 15:56:50,24.220261,,,,,,,,,
2021-04-01 15:56:50,,63,,,,,,,,
2021-04-01 15:56:50,,,390.079987,,,,,,,
2021-04-01 15:51:50,,63,,,,,,,,
2021-04-01 15:51:50,24.236282,,,,,,,,,
2021-04-01 15:51:50,,,400.639984,,,,,,,
2021-04-01 15:46:50,,,413.919983,,,,,,,
2021-04-01 15:46:50,24.206909,,,,,,,,,
2021-04-01 15:46:50,,63,,,,,,,,
2021-04-01 15:41:50,,,395.199982,,,,,,,
