"time","fitbit.air-vel","fitbit.bodyPresence","fitbit.change","fitbit.clothing","fitbit.comfort","fitbit.heartRate","fitbit.indoorOutdoor","fitbit.lat","fitbit.lon","fitbit.met","fitbit.responseSpeed","fitbit.restingHR","fitbit.thermal","fitbit.voteLog"
"2021-03-15T13:31:54.757+08:00","10","true","10","9","10","62","11","1.2970666666666668","103.77097666666667","9","7.337","62","11","1260"
"2021-03-15T14:00:47.947+08:00","10","true","10","9","10","120","11","1.2975183333333333","103.770745","9","13.795","62","10","1261"
"2021-03-15T14:22:44.756+08:00","10","true","10","9","10","81","11","1.2975050000000001","103.77074833333333","9","8.182","62","11","1262"
"2021-03-15T14:40:18.415+08:00","10","true","10","9","10","83","11","1.2975233333333334","103.77075","9","6.867","62","10","1263"
"2021-03-15T15:11:44.895+08:00","10","true","10","9","10","77","11","1.29752","103.77074666666667","9","5.677","62","10","1264"
"2021-03-15T15:29:28.903+08:00","10","true","10","9","10","73","11","1.2975216666666667","103.77074833333333","9","10.9","62","10","1265"
"2021-03-15T15:48:36.540+08:00","10","true","10","9","10","97","11","1.2973016666666668","103.77092166666667","9","7.422","63","10","1266"
"2021-03-16T15:24:05.558+08:00","10","true","10","9","10","82","11","1.2971033333333333","103.77055833333333","9","6.668","62","10","1268"
"2021-03-16T15:43:01.785+08:00","10","true","10","9","10","73","11","1.297085","103.77051666666667","9","7.81","62","10","1269"
"2021-03-16T15:58:32.208+08:00","10","true","10","9","10","67","11","1.2971","103.77052333333333","9","6.917","62","10","1270"
"2021-03-16T16:15:26.804+08:00","10","true","10","9","10","81","11","1.297085","103.77053166666667","9","6.316","62","10","1271"
"2021-03-16T17:19:49.116+08:00","10","true","10","9","10","73","11","1.2970833333333334","103.77055333333334","9","5.865","62","10","1272"
"2021-03-17T16:55:47.243+08:00","11","true","11","9","10","65","11",,,"10","20.939","63","11","1274"
"2021-03-17T17:11:01.120+08:00","11","true","10","9","10","68","11","1.2966133333333334","103.77019333333334","9","14.576","63","10","1275"
"2021-03-17T17:26:09.017+08:00","11","true","10","9","10","68","11","1.2965233333333332","103.770205","9","7.026","63","10","1276"
"2021-03-17T17:45:50.206+08:00","11","true","10","9","10","64","11","1.296505","103.77015166666666","9","7.001","62","10","1277"
"2021-03-17T18:00:53.938+08:00","11","true","10","9","10","55","11","1.2965","103.77017666666667","9","9.665","62","10","1278"
"2021-03-17T18:19:33.104+08:00","10","true","10","9","10","98","11","1.2964916666666666","103.77014","9","6.364","61","10","1279"
"2021-03-17T18:36:19.753+08:00","10","true","11","9","10","78","9","1.2964799999999999","103.770185","9","9.19","61","10","1280"
"2021-03-22T13:57:46.232+08:00","10","true","11","10","9","91","11","1.2972216666666667","103.77109833333333","10","10.946","61","11","1281"
"2021-03-22T14:16:24.608+08:00","10","true","10","10","10","77","11","1.2971833333333334","103.77101166666667","9","7.467","61","11","1282"
"2021-03-22T14:33:34.296+08:00","10","true","10","10","10","72","11","1.2971716666666666","103.77101166666667","9","6.713","61","10","1283"
"2021-03-22T15:12:15.672+08:00","10","true","10","10","10","76","11","1.29703","103.77087833333333","9","16.365","63","11","1284"
"2021-03-22T15:28:53.493+08:00","10","true","10","10","10","73","11","1.2971733333333333","103.77100333333334","9","9.35","63","11","1285"
"2021-03-22T15:50:09.224+08:00","10","true","10","10","10","66","11","1.297085","103.77095833333334","9","7.463","63","11","1286"
"2021-03-22T16:07:06.108+08:00","10","true","11","10","10","63","11","1.2973416666666666","103.771135","9","8.41","63","10","1287"
"2021-03-22T16:27:33.060+08:00","10","true","10","10","10","67","11","1.2973833333333333","103.77116833333334","9","6.034","62","10","1288"
"2021-03-22T16:46:19.415+08:00","10","true","10","10","10","65","11","1.2974183333333333","103.77120166666667","9","5.091","61","10","1289"
"2021-03-22T17:17:29.508+08:00","10","true","10","10","10","57","11","1.2973283333333334","103.77109833333333","9","4.674","60","10","1290"
"2021-03-22T17:35:10.132+08:00","10","true","10","10","10","63","11","1.2973233333333334","103.77109833333333","9","5.988","60","10","1291"
"2021-03-22T17:53:00.273+08:00","10","true","10","10","10","55","11","1.2973366666666666","103.77110166666667","9","6.81","60","10","1292"
