Creating Time,Temperature(℃),Humidity(%),Light(lux),Voltage(V),WIFI RSSI(dBm),GSM RSSI(dBm),EXT1 Temperature(℃),EXT2 Temperature(℃),RS485 Temperature(℃),RS485 Humidity(%)
2021-03-17 14:54:40,,,,5,,,,,,
2021-03-17 14:53:51,,,,5.491449,,,,,,
2021-03-17 14:53:50,,,,5.47165,,,,,,
2021-03-17 14:53:50,,,,5.465764,,,,,,
2021-03-17 14:53:45,,,,5.375327,,,,,,
2021-03-17 14:53:44,,,,5.384424,,,,,,
2021-03-17 14:52:05,,,,5,,,,,,
2021-03-17 14:51:34,,65,,,,,,,,
2021-03-17 14:51:34,23.72892,,,,,,,,,
2021-03-17 14:51:34,,,142.559998,,,,,,,
2021-03-17 14:46:34,,,118.599998,,,,,,,
2021-03-17 14:46:34,,65,,,,,,,,
2021-03-17 14:46:34,23.72892,,,,,,,,,
2021-03-17 14:41:34,23.712898,,,,,,,,,
2021-03-17 14:41:34,,,178.559998,,,,,,,
2021-03-17 14:41:34,,65,,,,,,,,
2021-03-17 14:36:34,,,173.279999,,,,,,,
2021-03-17 14:36:34,23.712898,,,,,,,,,
2021-03-17 14:36:34,,65,,,,,,,,
2021-03-17 14:31:34,23.712898,,,,,,,,,
2021-03-17 14:31:34,,,209.519989,,,,,,,
2021-03-17 14:31:34,,65,,,,,,,,
2021-03-17 14:26:34,23.712898,,,,,,,,,
2021-03-17 14:26:34,,65,,,,,,,,
2021-03-17 14:26:34,,,258.320007,,,,,,,
2021-03-17 14:21:34,,65,,,,,,,,
2021-03-17 14:21:34,23.670174,,,,,,,,,
2021-03-17 14:21:34,,,272.959991,,,,,,,
2021-03-17 14:16:34,23.683525,,,,,,,,,
2021-03-17 14:16:34,,,303.440002,,,,,,,
2021-03-17 14:16:34,,65,,,,,,,,
2021-03-17 14:11:34,,65,,,,,,,,
2021-03-17 14:11:34,,,347.199982,,,,,,,
2021-03-17 14:11:34,23.683525,,,,,,,,,
2021-03-17 14:06:34,23.683525,,,,,,,,,
2021-03-17 14:06:34,,,317.359985,,,,,,,
2021-03-17 14:06:34,,65,,,,,,,,
2021-03-17 14:01:34,23.683525,,,,,,,,,
2021-03-17 14:01:34,,,306.559998,,,,,,,
2021-03-17 14:01:34,,65,,,,,,,,
2021-03-17 13:56:34,23.72892,,,,,,,,,
2021-03-17 13:56:34,,,303.279999,,,,,,,
2021-03-17 13:56:34,,65,,,,,,,,
2021-03-17 13:51:34,,65,,,,,,,,
2021-03-17 13:51:34,23.696877,,,,,,,,,
2021-03-17 13:51:34,,,322.399994,,,,,,,
2021-03-17 13:46:34,23.683525,,,,,,,,,
2021-03-17 13:46:34,,,297.119995,,,,,,,
2021-03-17 13:46:34,,65,,,,,,,,
2021-03-17 13:41:34,,,239.679993,,,,,,,
2021-03-17 13:41:34,23.696877,,,,,,,,,
2021-03-17 13:41:34,,65,,,,,,,,
2021-03-17 13:36:34,23.696877,,,,,,,,,
2021-03-17 13:36:34,,,221.599991,,,,,,,
2021-03-17 13:36:34,,65,,,,,,,,
2021-03-17 13:31:34,23.712898,,,,,,,,,
2021-03-17 13:31:34,,,212.23999,,,,,,,
2021-03-17 13:31:34,,65,,,,,,,,
2021-03-17 13:31:21,,,,5.381749,,,,,,
2021-03-17 13:26:34,,65,,,,,,,,
2021-03-17 13:26:34,,,300.079987,,,,,,,
2021-03-17 13:26:34,23.696877,,,,,,,,,
2021-03-17 13:21:34,,65,,,,,,,,
2021-03-17 13:21:34,,,307.839996,,,,,,,
2021-03-17 13:21:34,23.712898,,,,,,,,,
2021-03-17 13:16:34,,,278.160004,,,,,,,
2021-03-17 13:16:34,,65,,,,,,,,
2021-03-17 13:16:34,23.75563,,,,,,,,,
2021-03-17 13:11:34,,65,,,,,,,,
2021-03-17 13:11:34,,,284.959991,,,,,,,
2021-03-17 13:11:34,23.771652,,,,,,,,,
2021-03-17 13:06:34,23.771652,,,,,,,,,
2021-03-17 13:06:34,,65,,,,,,,,
2021-03-17 13:06:34,,,265.279999,,,,,,,
2021-03-17 13:01:34,,65,,,,,,,,
2021-03-17 13:01:34,23.811707,,,,,,,,,
2021-03-17 13:01:34,,,255.360001,,,,,,,
2021-03-17 12:56:34,,,228.559998,,,,,,,
2021-03-17 12:56:34,,65,,,,,,,,
2021-03-17 12:56:34,23.827728,,,,,,,,,
2021-03-17 12:51:34,23.827728,,,,,,,,,
2021-03-17 12:51:34,,,194.639999,,,,,,,
2021-03-17 12:51:34,,65,,,,,,,,
2021-03-17 12:46:34,23.798355,,,,,,,,,
2021-03-17 12:46:34,,,212.559998,,,,,,,
2021-03-17 12:46:34,,65,,,,,,,,
2021-03-17 12:41:34,,65,,,,,,,,
2021-03-17 12:41:34,,,174.080002,,,,,,,
2021-03-17 12:41:34,23.742271,,,,,,,,,
2021-03-17 12:36:34,23.683525,,,,,,,,,
2021-03-17 12:36:34,,65,,,,,,,,
2021-03-17 12:36:34,,,227.199997,,,,,,,
2021-03-17 12:31:34,23.670174,,,,,,,,,
2021-03-17 12:31:34,,,253.839996,,,,,,,
2021-03-17 12:31:34,,65,,,,,,,,
2021-03-17 12:26:34,23.696877,,,,,,,,,
2021-03-17 12:26:34,,65,,,,,,,,
2021-03-17 12:26:34,,,226.319992,,,,,,,
2021-03-17 12:21:34,,65,,,,,,,,
2021-03-17 12:21:34,,,228.319992,,,,,,,
2021-03-17 12:21:34,23.712898,,,,,,,,,
2021-03-17 12:16:34,23.742271,,,,,,,,,
2021-03-17 12:16:34,,65,,,,,,,,
2021-03-17 12:16:34,,,182.559998,,,,,,,
2021-03-17 12:11:34,23.75563,,,,,,,,,
2021-03-17 12:11:34,,,179.199997,,,,,,,
2021-03-17 12:11:34,,65,,,,,,,,
2021-03-17 12:06:34,23.771652,,,,,,,,,
2021-03-17 12:06:34,,65,,,,,,,,
2021-03-17 12:06:34,,,189.919998,,,,,,,
2021-03-17 12:01:34,,65,,,,,,,,
2021-03-17 12:01:34,23.771652,,,,,,,,,
2021-03-17 12:01:34,,,177.679993,,,,,,,
2021-03-17 11:56:34,23.771652,,,,,,,,,
2021-03-17 11:56:34,,,254.080002,,,,,,,
2021-03-17 11:56:34,,65,,,,,,,,
2021-03-17 11:51:34,,65,,,,,,,,
2021-03-17 11:51:34,23.798355,,,,,,,,,
2021-03-17 11:51:34,,,328.320007,,,,,,,
2021-03-17 11:46:34,23.827728,,,,,,,,,
2021-03-17 11:46:34,,,212.23999,,,,,,,
2021-03-17 11:46:34,,65,,,,,,,,
2021-03-17 11:41:34,,,189.039993,,,,,,,
2021-03-17 11:41:34,,65,,,,,,,,
2021-03-17 11:41:34,23.811707,,,,,,,,,
2021-03-17 11:36:34,,65,,,,,,,,
2021-03-17 11:36:34,,,349.919983,,,,,,,
2021-03-17 11:36:34,23.811707,,,,,,,,,
2021-03-17 11:31:34,23.811707,,,,,,,,,
2021-03-17 11:31:34,,65,,,,,,,,
2021-03-17 11:31:34,,,189.679993,,,,,,,
2021-03-17 11:26:34,23.827728,,,,,,,,,
2021-03-17 11:26:34,,,266.079987,,,,,,,
2021-03-17 11:26:34,,65,,,,,,,,
2021-03-17 11:21:34,,65,,,,,,,,
2021-03-17 11:21:34,,,338.23999,,,,,,,
2021-03-17 11:21:34,23.827728,,,,,,,,,
2021-03-17 11:16:34,23.867783,,,,,,,,,
2021-03-17 11:16:34,,65,,,,,,,,
2021-03-17 11:16:34,,,201.919998,,,,,,,
2021-03-17 11:11:34,,,205.360001,,,,,,,
2021-03-17 11:11:34,,65,,,,,,,,
2021-03-17 11:11:34,23.854431,,,,,,,,,
2021-03-17 11:06:34,23.811707,,,,,,,,,
2021-03-17 11:06:34,,65,,,,,,,,
2021-03-17 11:06:34,,,363.359985,,,,,,,
2021-03-17 11:01:34,,65,,,,,,,,
2021-03-17 11:01:34,23.72892,,,,,,,,,
2021-03-17 11:01:34,,,340.799988,,,,,,,
2021-03-17 10:56:34,23.696877,,,,,,,,,
2021-03-17 10:56:34,,65,,,,,,,,
2021-03-17 10:56:34,,,373.440002,,,,,,,
2021-03-17 10:51:34,,,349.440002,,,,,,,
2021-03-17 10:51:34,,65,,,,,,,,
2021-03-17 10:51:34,23.72892,,,,,,,,,
2021-03-17 10:46:34,23.75563,,,,,,,,,
2021-03-17 10:46:34,,,230.87999,,,,,,,
2021-03-17 10:46:34,,65,,,,,,,,
2021-03-17 10:41:34,23.771652,,,,,,,,,
2021-03-17 10:41:34,,65,,,,,,,,
2021-03-17 10:41:34,,,367.519989,,,,,,,
2021-03-17 10:36:34,23.84108,,,,,,,,,
2021-03-17 10:36:34,,65,,,,,,,,
2021-03-17 10:36:34,,,354.880005,,,,,,,
2021-03-17 10:31:34,23.897156,,,,,,,,,
2021-03-17 10:31:34,,,355.039978,,,,,,,
2021-03-17 10:31:34,,65,,,,,,,,
2021-03-17 10:31:21,,,,5.3871,,,,,,
2021-03-17 10:26:34,,65,,,,,,,,
2021-03-17 10:26:33,,,280.160004,,,,,,,
2021-03-17 10:26:33,24.009308,,,,,,,,,
2021-03-17 10:21:34,,65,,,,,,,,
2021-03-17 10:21:33,24.108109,,,,,,,,,
2021-03-17 10:21:33,,,323.759979,,,,,,,
2021-03-17 10:16:33,24.150833,,,,,,,,,
2021-03-17 10:16:33,,,478.399994,,,,,,,
2021-03-17 10:16:33,,65,,,,,,,,
2021-03-17 10:11:33,,,244.23999,,,,,,,
2021-03-17 10:11:33,24.137482,,,,,,,,,
2021-03-17 10:11:33,,64,,,,,,,,
2021-03-17 10:06:33,24.094757,,,,,,,,,
2021-03-17 10:06:33,,,267.040009,,,,,,,
2021-03-17 10:06:33,,65,,,,,,,,
2021-03-17 10:01:33,23.966583,,,,,,,,,
2021-03-17 10:01:33,,65,,,,,,,,
2021-03-17 10:01:33,,,286.559998,,,,,,,
2021-03-17 09:56:33,,65,,,,,,,,
2021-03-17 09:56:33,23.926529,,,,,,,,,
2021-03-17 09:56:33,,,510.879974,,,,,,,
2021-03-17 09:51:33,24.038681,,,,,,,,,
2021-03-17 09:51:33,,,492.319977,,,,,,,
2021-03-17 09:51:33,,65,,,,,,,,
2021-03-17 09:46:33,,,417.119995,,,,,,,
2021-03-17 09:46:33,,65,,,,,,,,
2021-03-17 09:46:33,24.150833,,,,,,,,,
2021-03-17 09:41:33,24.193558,,,,,,,,,
2021-03-17 09:41:33,,,442.880005,,,,,,,
2021-03-17 09:41:33,,65,,,,,,,,
2021-03-17 09:36:33,24.177536,,,,,,,,,
2021-03-17 09:36:33,,,433.919983,,,,,,,
2021-03-17 09:36:33,,65,,,,,,,,
2021-03-17 09:31:33,,65,,,,,,,,
2021-03-17 09:31:33,24.094757,,,,,,,,,
2021-03-17 09:31:33,,,436.959991,,,,,,,
2021-03-17 09:26:33,,65,,,,,,,,
2021-03-17 09:26:33,,,247.519989,,,,,,,
2021-03-17 09:26:33,23.966583,,,,,,,,,
2021-03-17 09:21:33,24.009308,,,,,,,,,
2021-03-17 09:21:33,,,292.079987,,,,,,,
2021-03-17 09:21:33,,66,,,,,,,,
2021-03-17 09:16:33,24.094757,,,,,,,,,
2021-03-17 09:16:33,,,219.519989,,,,,,,
2021-03-17 09:16:33,,65,,,,,,,,
2021-03-17 09:11:33,,65,,,,,,,,
2021-03-17 09:11:33,,,320.399994,,,,,,,
2021-03-17 09:11:33,24.249634,,,,,,,,,
2021-03-17 09:06:33,24.407188,,,,,,,,,
2021-03-17 09:06:33,,65,,,,,,,,
2021-03-17 09:06:33,,,205.839996,,,,,,,
2021-03-17 09:01:33,,64,,,,,,,,
2021-03-17 09:01:33,,,209.919998,,,,,,,
2021-03-17 09:01:33,24.505989,,,,,,,,,
2021-03-17 08:56:33,24.505989,,,,,,,,,
2021-03-17 08:56:33,,64,,,,,,,,
2021-03-17 08:56:33,,,409.599976,,,,,,,
2021-03-17 08:51:33,,64,,,,,,,,
2021-03-17 08:51:33,24.575417,,,,,,,,,
2021-03-17 08:51:33,,,404,,,,,,,
2021-03-17 08:46:33,24.687569,,,,,,,,,
2021-03-17 08:46:33,,64,,,,,,,,
2021-03-17 08:46:33,,,383.839996,,,,,,,
2021-03-17 08:41:33,,,357.279999,,,,,,,
2021-03-17 08:41:33,,64,,,,,,,,
2021-03-17 08:41:33,24.730293,,,,,,,,,
2021-03-17 08:36:33,24.786377,,,,,,,,,
2021-03-17 08:36:33,,,146.559998,,,,,,,
2021-03-17 08:36:33,,63,,,,,,,,
2021-03-17 08:31:33,24.855804,,,,,,,,,
2021-03-17 08:31:33,,63,,,,,,,,
2021-03-17 08:31:33,,,107.720001,,,,,,,
2021-03-17 08:26:33,,,92.199997,,,,,,,
2021-03-17 08:26:33,,64,,,,,,,,
2021-03-17 08:26:33,25.085449,,,,,,,,,
2021-03-17 08:21:33,25.507362,,,,,,,,,
2021-03-17 08:21:33,,,97.759995,,,,,,,
2021-03-17 08:21:33,,65,,,,,,,,
2021-03-17 08:16:33,,65,,,,,,,,
2021-03-17 08:16:33,,,100.159996,,,,,,,
2021-03-17 08:16:33,26.06012,,,,,,,,,
2021-03-17 08:11:33,,,83.759995,,,,,,,
2021-03-17 08:11:33,26.540779,,,,,,,,,
2021-03-17 08:11:33,,67,,,,,,,,
2021-03-17 08:06:33,,69,,,,,,,,
2021-03-17 08:06:33,,,67.400002,,,,,,,
2021-03-17 08:06:33,26.952011,,,,,,,,,
2021-03-17 08:01:33,,,52.860001,,,,,,,
2021-03-17 08:01:33,,73,,,,,,,,
2021-03-17 08:01:33,27.106888,,,,,,,,,
2021-03-17 07:56:33,27.090866,,,,,,,,,
2021-03-17 07:56:33,,,45.039997,,,,,,,
2021-03-17 07:56:33,,73,,,,,,,,
2021-03-17 07:51:33,,,43.48,,,,,,,
2021-03-17 07:51:33,27.106888,,,,,,,,,
2021-03-17 07:51:33,,73,,,,,,,,
2021-03-17 07:46:33,27.106888,,,,,,,,,
2021-03-17 07:46:33,,,31.25,,,,,,,
2021-03-17 07:46:33,,73,,,,,,,,
2021-03-17 07:41:33,27.090866,,,,,,,,,
2021-03-17 07:41:33,,73,,,,,,,,
2021-03-17 07:41:33,,,31.189999,,,,,,,
2021-03-17 07:36:33,,,27.779999,,,,,,,
2021-03-17 07:36:33,,73,,,,,,,,
2021-03-17 07:36:33,27.120239,,,,,,,,,
2021-03-17 07:31:33,27.106888,,,,,,,,,
2021-03-17 07:31:33,,,21.66,,,,,,,
2021-03-17 07:31:33,,73,,,,,,,,
2021-03-17 07:31:21,,,,5.392986,,,,,,
2021-03-17 07:26:33,27.090866,,,,,,,,,
2021-03-17 07:26:33,,73,,,,,,,,
2021-03-17 07:26:33,,,16.16,,,,,,,
2021-03-17 07:21:33,27.077515,,,,,,,,,
2021-03-17 07:21:33,,73,,,,,,,,
2021-03-17 07:21:33,,,11.5,,,,,,,
2021-03-17 07:16:33,27.090866,,,,,,,,,
2021-03-17 07:16:33,,,7.25,,,,,,,
2021-03-17 07:16:33,,73,,,,,,,,
2021-03-17 07:11:33,,73,,,,,,,,
2021-03-17 07:11:33,,,4.14,,,,,,,
2021-03-17 07:11:33,27.106888,,,,,,,,,
2021-03-17 07:06:33,,,2.42,,,,,,,
2021-03-17 07:06:33,27.106888,,,,,,,,,
2021-03-17 07:06:33,,73,,,,,,,,
2021-03-17 07:01:33,27.120239,,,,,,,,,
2021-03-17 07:01:33,,73,,,,,,,,
2021-03-17 07:01:33,,,1.32,,,,,,,
2021-03-17 06:56:33,,,0.7,,,,,,,
2021-03-17 06:56:33,,74,,,,,,,,
2021-03-17 06:56:33,27.090866,,,,,,,,,
2021-03-17 06:51:33,27.090866,,,,,,,,,
2021-03-17 06:51:33,,,0.51,,,,,,,
2021-03-17 06:51:33,,74,,,,,,,,
2021-03-17 06:46:33,27.090866,,,,,,,,,
2021-03-17 06:46:33,,,0.48,,,,,,,
2021-03-17 06:46:33,,74,,,,,,,,
2021-03-17 06:41:33,,74,,,,,,,,
2021-03-17 06:41:33,27.120239,,,,,,,,,
2021-03-17 06:41:33,,,0.46,,,,,,,
2021-03-17 06:36:33,,,0.46,,,,,,,
2021-03-17 06:36:33,,74,,,,,,,,
2021-03-17 06:36:33,27.106888,,,,,,,,,
2021-03-17 06:31:33,,,0.46,,,,,,,
2021-03-17 06:31:33,27.106888,,,,,,,,,
2021-03-17 06:31:33,,74,,,,,,,,
2021-03-17 06:26:33,27.106888,,,,,,,,,
2021-03-17 06:26:33,,74,,,,,,,,
2021-03-17 06:26:33,,,0.46,,,,,,,
2021-03-17 06:21:33,,,0.46,,,,,,,
2021-03-17 06:21:33,27.120239,,,,,,,,,
2021-03-17 06:21:33,,74,,,,,,,,
2021-03-17 06:16:33,,74,,,,,,,,
2021-03-17 06:16:33,,,0.46,,,,,,,
2021-03-17 06:16:33,27.106888,,,,,,,,,
2021-03-17 06:11:33,,74,,,,,,,,
2021-03-17 06:11:33,27.120239,,,,,,,,,
2021-03-17 06:11:33,,,0.46,,,,,,,
2021-03-17 06:06:33,27.120239,,,,,,,,,
2021-03-17 06:06:33,,74,,,,,,,,
2021-03-17 06:06:33,,,0.46,,,,,,,
2021-03-17 06:01:33,27.106888,,,,,,,,,
2021-03-17 06:01:33,,,0.45,,,,,,,
2021-03-17 06:01:33,,74,,,,,,,,
2021-03-17 05:56:33,,,0.47,,,,,,,
2021-03-17 05:56:33,,74,,,,,,,,
2021-03-17 05:56:33,27.106888,,,,,,,,,
2021-03-17 05:51:33,27.133591,,,,,,,,,
2021-03-17 05:51:33,,,0.46,,,,,,,
2021-03-17 05:51:33,,74,,,,,,,,
2021-03-17 05:46:33,,,0.46,,,,,,,
2021-03-17 05:46:33,27.120239,,,,,,,,,
2021-03-17 05:46:33,,74,,,,,,,,
2021-03-17 05:41:33,27.133591,,,,,,,,,
2021-03-17 05:41:33,,,0.46,,,,,,,
2021-03-17 05:41:33,,74,,,,,,,,
2021-03-17 05:36:33,27.120239,,,,,,,,,
2021-03-17 05:36:33,,74,,,,,,,,
2021-03-17 05:36:33,,,0.46,,,,,,,
2021-03-17 05:31:33,,74,,,,,,,,
2021-03-17 05:31:33,27.106888,,,,,,,,,
2021-03-17 05:31:33,,,0.46,,,,,,,
2021-03-17 05:26:33,27.133591,,,,,,,,,
2021-03-17 05:26:33,,,0.46,,,,,,,
2021-03-17 05:26:33,,74,,,,,,,,
2021-03-17 05:21:33,,74,,,,,,,,
2021-03-17 05:21:33,27.133591,,,,,,,,,
2021-03-17 05:21:33,,,0.46,,,,,,,
2021-03-17 05:16:33,27.149612,,,,,,,,,
2021-03-17 05:16:33,,,0.46,,,,,,,
2021-03-17 05:16:33,,74,,,,,,,,
2021-03-17 05:11:33,,,0.46,,,,,,,
2021-03-17 05:11:33,,74,,,,,,,,
2021-03-17 05:11:33,27.149612,,,,,,,,,
2021-03-17 05:06:33,,74,,,,,,,,
2021-03-17 05:06:33,,,0.46,,,,,,,
2021-03-17 05:06:33,27.133591,,,,,,,,,
2021-03-17 05:01:33,27.133591,,,,,,,,,
2021-03-17 05:01:33,,74,,,,,,,,
2021-03-17 05:01:33,,,0.46,,,,,,,
2021-03-17 04:56:33,27.133591,,,,,,,,,
2021-03-17 04:56:33,,,0.46,,,,,,,
2021-03-17 04:56:33,,74,,,,,,,,
2021-03-17 04:51:33,,74,,,,,,,,
2021-03-17 04:51:33,,,0.46,,,,,,,
2021-03-17 04:51:33,27.133591,,,,,,,,,
2021-03-17 04:46:33,27.149612,,,,,,,,,
2021-03-17 04:46:33,,74,,,,,,,,
2021-03-17 04:46:33,,,0.46,,,,,,,
2021-03-17 04:41:33,27.133591,,,,,,,,,
2021-03-17 04:41:33,,74,,,,,,,,
2021-03-17 04:41:33,,,0.46,,,,,,,
2021-03-17 04:36:33,27.133591,,,,,,,,,
2021-03-17 04:36:33,,74,,,,,,,,
2021-03-17 04:36:33,,,0.46,,,,,,,
2021-03-17 04:31:33,27.149612,,,,,,,,,
2021-03-17 04:31:33,,,0.46,,,,,,,
2021-03-17 04:31:33,,74,,,,,,,,
2021-03-17 04:31:21,,,,5.391381,,,,,,
2021-03-17 04:26:33,,,0.46,,,,,,,
2021-03-17 04:26:33,,74,,,,,,,,
2021-03-17 04:26:33,27.149612,,,,,,,,,
2021-03-17 04:21:33,,74,,,,,,,,
2021-03-17 04:21:33,27.149612,,,,,,,,,
2021-03-17 04:21:33,,,0.46,,,,,,,
2021-03-17 04:16:33,,,0.49,,,,,,,
2021-03-17 04:16:33,,74,,,,,,,,
2021-03-17 04:16:33,27.149612,,,,,,,,,
2021-03-17 04:11:33,27.133591,,,,,,,,,
2021-03-17 04:11:33,,74,,,,,,,,
2021-03-17 04:11:33,,,0.49,,,,,,,
2021-03-17 04:06:33,27.162964,,,,,,,,,
2021-03-17 04:06:33,,74,,,,,,,,
2021-03-17 04:06:33,,,0.47,,,,,,,
2021-03-17 04:01:33,27.162964,,,,,,,,,
2021-03-17 04:01:33,,,0.46,,,,,,,
2021-03-17 04:01:33,,74,,,,,,,,
2021-03-17 03:56:33,,74,,,,,,,,
2021-03-17 03:56:33,,,0.46,,,,,,,
2021-03-17 03:56:33,27.162964,,,,,,,,,
2021-03-17 03:51:33,,,0.46,,,,,,,
2021-03-17 03:51:33,27.176315,,,,,,,,,
2021-03-17 03:51:33,,74,,,,,,,,
2021-03-17 03:46:33,27.176315,,,,,,,,,
2021-03-17 03:46:33,,74,,,,,,,,
2021-03-17 03:46:33,,,0.46,,,,,,,
2021-03-17 03:41:33,,,0.46,,,,,,,
2021-03-17 03:41:33,,74,,,,,,,,
2021-03-17 03:41:33,27.162964,,,,,,,,,
2021-03-17 03:36:33,27.149612,,,,,,,,,
2021-03-17 03:36:33,,,0.46,,,,,,,
2021-03-17 03:36:33,,74,,,,,,,,
2021-03-17 03:31:33,27.162964,,,,,,,,,
2021-03-17 03:31:33,,,0.46,,,,,,,
2021-03-17 03:31:33,,74,,,,,,,,
2021-03-17 03:26:33,27.176315,,,,,,,,,
