Creating Time,Temperature(℃),Humidity(%),Light(lux),Voltage(V),WIFI RSSI(dBm),GSM RSSI(dBm),EXT1 Temperature(℃),EXT2 Temperature(℃),RS485 Temperature(℃),RS485 Humidity(%)
2021-04-14 14:32:04,,,,5,,,,,,
2021-04-14 14:27:55,,66,,,,,,,,
2021-04-14 14:27:55,,,272.079987,,,,,,,
2021-04-14 14:27:55,23.646141,,,,,,,,,
2021-04-14 14:22:55,23.646141,,,,,,,,,
2021-04-14 14:22:55,,66,,,,,,,,
2021-04-14 14:22:55,,,271.839996,,,,,,,
2021-04-14 14:17:55,,,271.679993,,,,,,,
2021-04-14 14:17:55,,66,,,,,,,,
2021-04-14 14:17:55,23.63279,,,,,,,,,
2021-04-14 14:12:55,23.606087,,,,,,,,,
2021-04-14 14:12:55,,66,,,,,,,,
2021-04-14 14:12:55,,,271.199982,,,,,,,
2021-04-14 14:07:55,,66,,,,,,,,
2021-04-14 14:07:55,23.590065,,,,,,,,,
2021-04-14 14:07:55,,,271.359985,,,,,,,
2021-04-14 14:02:55,,,271.440002,,,,,,,
2021-04-14 14:02:55,23.576714,,,,,,,,,
2021-04-14 14:02:55,,66,,,,,,,,
2021-04-14 13:57:55,23.533989,,,,,,,,,
2021-04-14 13:57:55,,66,,,,,,,,
2021-04-14 13:57:55,,,271.359985,,,,,,,
2021-04-14 13:52:55,,,271.519989,,,,,,,
2021-04-14 13:52:55,23.507286,,,,,,,,,
2021-04-14 13:52:55,,66,,,,,,,,
2021-04-14 13:47:55,,,270.079987,,,,,,,
2021-04-14 13:47:55,,66,,,,,,,,
2021-04-14 13:47:55,23.45121,,,,,,,,,
2021-04-14 13:42:55,,66,,,,,,,,
2021-04-14 13:42:55,,,269.600006,,,,,,,
2021-04-14 13:42:55,23.408485,,,,,,,,,
2021-04-14 13:37:55,,,269.839996,,,,,,,
2021-04-14 13:37:55,23.379112,,,,,,,,,
2021-04-14 13:37:55,,66,,,,,,,,
2021-04-14 13:32:55,,66,,,,,,,,
2021-04-14 13:32:55,23.352409,,,,,,,,,
2021-04-14 13:32:55,,,271.679993,,,,,,,
2021-04-14 13:27:55,,,271.519989,,,,,,,
2021-04-14 13:27:55,23.309685,,,,,,,,,
2021-04-14 13:27:55,,66,,,,,,,,
2021-04-14 13:22:55,,,271.440002,,,,,,,
2021-04-14 13:22:55,23.26696,,,,,,,,,
2021-04-14 13:22:55,,66,,,,,,,,
2021-04-14 13:17:55,23.24025,,,,,,,,,
2021-04-14 13:17:55,,,97,,,,,,,
2021-04-14 13:17:55,,66,,,,,,,,
2021-04-14 13:12:55,,,97.159996,,,,,,,
2021-04-14 13:12:55,23.226898,,,,,,,,,
2021-04-14 13:12:55,,66,,,,,,,,
2021-04-14 13:12:52,,,,5.605966,,,,,,
2021-04-14 13:07:55,,,97.119995,,,,,,,
2021-04-14 13:07:55,23.24025,,,,,,,,,
2021-04-14 13:07:55,,66,,,,,,,,
2021-04-14 13:02:55,23.26696,,,,,,,,,
2021-04-14 13:02:55,,66,,,,,,,,
2021-04-14 13:02:55,,,97.119995,,,,,,,
2021-04-14 12:57:55,,66,,,,,,,,
2021-04-14 12:57:55,,,97.079994,,,,,,,
2021-04-14 12:57:55,23.24025,,,,,,,,,
2021-04-14 12:52:55,,,97.199997,,,,,,,
2021-04-14 12:52:55,23.253609,,,,,,,,,
2021-04-14 12:52:55,,66,,,,,,,,
2021-04-14 12:47:55,,,97.079994,,,,,,,
2021-04-14 12:47:55,23.226898,,,,,,,,,
2021-04-14 12:47:55,,66,,,,,,,,
2021-04-14 12:42:55,,66,,,,,,,,
2021-04-14 12:42:55,,,97.159996,,,,,,,
2021-04-14 12:42:55,23.210876,,,,,,,,,
2021-04-14 12:37:55,,,271.679993,,,,,,,
2021-04-14 12:37:55,,66,,,,,,,,
2021-04-14 12:37:55,23.168152,,,,,,,,,
2021-04-14 12:32:55,,66,,,,,,,,
2021-04-14 12:32:55,23.197525,,,,,,,,,
2021-04-14 12:32:55,,,271.519989,,,,,,,
2021-04-14 12:27:55,,66,,,,,,,,
