"time","purpleair.0.3_um_count","purpleair.0.5_um_count","purpleair.1.0_um_count","purpleair.10.0_um_count","purpleair.2.5_um_count","purpleair.5.0_um_count","purpleair.humidity","purpleair.pm1.0","purpleair.pm10.0","purpleair.pm2.5","purpleair.pressure","purpleair.temperature"
"2021-03-14T23:10:02.000+08:00","2454.33","739.41","140.59","0","11.61","2.37","71","14.13","23.61","22.22","1008.65","26.11"
"2021-03-14T23:10:02.902+08:00","2527.9","717.46","127.73","0.5","9.35","3.92",,"3.02","5.75","4.94",,
"2021-03-14T23:10:52.000+08:00","2454.33","739.41","140.59","0","11.61","2.37","71","14.13","23.61","22.22","1008.65","26.11"
"2021-03-14T23:10:52.491+08:00","2527.9","717.46","127.73","0.5","9.35","3.92",,"3.02","5.75","4.94",,
"2021-03-14T23:13:47.000+08:00","2388.44","724.52","133.85","0.09","10.15","1.96","70","13.39","22.57","21.35","1008.66","26.11"
"2021-03-14T23:13:47.667+08:00","2482.87","709.87","127.23","0","8.26","2.94",,"2.75","5.42","4.92",,
"2021-03-14T23:20:03.000+08:00","2459.56","741.96","121.3","0","9.7","2.63","70","14.02","22.31","20.37","1008.64","26.11"
"2021-03-14T23:20:03.422+08:00","2471.94","719.49","134.57","0.75","9.74","2.49",,"3.08","6.02","5.3",,
"2021-03-14T23:30:03.000+08:00","2384.57","731.64","122.32","0","7.25","0.55","71","13.86","21.41","20.52","1008.6","26.11"
"2021-03-14T23:30:03.385+08:00","2480.55","707.7","125.81","1.28","10.64","5.92",,"2.96","6.04","4.7",,
"2021-03-14T23:40:03.000+08:00","2549.79","781.12","144.56","0","11.54","2.07","71","14.61","24.74","23.18","1008.63","26.11"
"2021-03-14T23:40:03.113+08:00","2661.33","765.89","139.78","0.47","11.85","5.05",,"3.33","6.73","5.75",,
"2021-03-14T23:50:03.000+08:00","2500.71","760.35","148.31","0","10.75","1.67","71","14.25","24.57","23.27","1008.46","26.11"
"2021-03-14T23:50:03.243+08:00","2705.35","770.75","142.69","0.4","15.56","4.22",,"3.58","6.87","5.98",,
"2021-03-15T00:00:04.000+08:00","2601.72","790.76","140","0.52","9.26","1.58","71","14.98","24.5","22.92","1008.42","26.11"
"2021-03-15T00:00:04.447+08:00","2841.33","824.18","156.4","0.84","12.51","5.27",,"3.96","7.33","6.24",,
"2021-03-15T00:10:03.000+08:00","2737.35","837.61","148.12","0.37","11.25","1.96","71","15.84","26.14","24.63","1008.45","26.11"
"2021-03-15T00:10:03.391+08:00","2871.6","826.51","154.51","0.95","14.11","4.76",,"3.65","7.36","6.42",,
"2021-03-15T00:20:03.000+08:00","2734.67","837.1","152.15","0","8.37","1.94","71","15.77","25.79","24.35","1008.51","26.11"
"2021-03-15T00:20:03.913+08:00","2922.06","838.78","159.11","0.44","17.52","5.11",,"3.63","7.54","6.26",,
"2021-03-15T00:30:03.000+08:00","2938.53","889.64","159.66","0","14.98","2.58","71","17.09","28.62","26.21","1008.5","26.11"
"2021-03-15T00:30:04.105+08:00","3140.22","902.89","171.2","0.52","17.89","3.56",,"4.07","8.17","7.15",,
"2021-03-15T00:40:03.000+08:00","3082.22","940.9","185.96","0.04","18.88","3.47","71","17.49","32.86","30.1","1008.4","26.11"
"2021-03-15T00:40:04.040+08:00","3319.53","960.25","186.95","1.49","17.24","4.69",,"4.67","8.75","7.76",,
"2021-03-15T00:50:03.000+08:00","3038.38","932.26","186.38","0","15.55","2.06","71","17.74","31.28","29.23","1008.3","26.11"
"2021-03-15T00:50:03.519+08:00","3145.08","914.89","188.75","1.89","17.25","5.09",,"4.08","8.55","7.53",,
"2021-03-15T01:00:03.000+08:00","3003.74","920.89","178.83","0","14.47","2.72","71","17.47","30","27.98","1008.07","26.11"
"2021-03-15T01:00:04.106+08:00","3191.67","910.46","174.41","0.85","15.74","2.81",,"4.04","8.07","7.15",,
"2021-03-15T01:10:02.000+08:00","3003.28","924.87","169.3","0","13.63","2.41","71","17.44","29.7","27.31","1008.03","26.11"
"2021-03-15T01:10:02.701+08:00","3036.23","863.79","155.58","0.23","13.47","4.08",,"3.72","7.26","6.43",,
"2021-03-15T01:20:02.000+08:00","2988.63","907.6","166.42","0","13.08","1.92","71","17.54","29.25","27.73","1007.97","26.11"
"2021-03-15T01:20:02.908+08:00","3053.84","875.07","157.93","1.09","13.38","5.2",,"3.93","7.69","6.69",,
"2021-03-15T01:30:03.000+08:00","2979.87","912.87","158.36","0","13.6","2.11","71","17.6","29.2","27.42","1007.9","26.11"
"2021-03-15T01:30:03.809+08:00","3009.74","874.04","161.96","1.13","13.7","3.92",,"4.09","7.66","6.89",,
"2021-03-15T01:40:02.000+08:00","2824.07","856.45","149.86","0","11.96","1.36","71","16.16","26.84","25.32","1007.76","26.11"
"2021-03-15T01:40:02.994+08:00","2861.41","823.35","160.31","0","13.49","4.43",,"3.75","7.2","6.35",,
"2021-03-15T01:50:03.000+08:00","2811.23","851.62","143.89","0","11.74","3.02","71","16.19","27.08","25.06","1007.64","26.11"
"2021-03-15T01:50:03.441+08:00","2909.83","836.87","157.37","0.62","7.42","3.38",,"3.79","6.85","6.27",,
"2021-03-15T02:00:05.000+08:00","2844","862.19","141.69","0.27","8.58","0.65","71","16.29","25.87","24.71","1007.54","26.11"
"2021-03-15T02:00:05.199+08:00","2818.5","818.3","153","1","8.82","2.68",,"3.77","6.75","6.38",,
"2021-03-15T02:10:03.000+08:00","2775.78","849.15","149.78","0","9.65","1.8","72","16.5","26.43","25.11","1007.35","26.11"
"2021-03-15T02:10:03.178+08:00","2940.38","832.64","152.14","0.82","10.61","4.79",,"3.68","7","6.02",,
"2021-03-15T02:20:03.000+08:00","2811.36","844.05","145","0","12.31","1.21","72","16.28","26.24","25.07","1007.37","26.11"
"2021-03-15T02:20:03.629+08:00","3042.56","866.44","152.67","0.93","12.81","4.59",,"3.89","7.37","6.41",,
"2021-03-15T02:30:03.000+08:00","2852.72","867.55","146.87","0.3","10.19","1.7","72","16.26","26.25","24.55","1007.3","26.11"
"2021-03-15T02:30:03.892+08:00","3020.36","871.52","146.64","0.86","10.29","4.18",,"3.95","7.41","6.5",,
"2021-03-15T02:40:03.000+08:00","3173.02","955.53","156.53","0","9.45","1.18","72","18.33","28.39","27.27","1007.22","26.11"
"2021-03-15T02:40:03.550+08:00","3247.71","935.25","176.3","0.36","15.25","3.68",,"4.59","8.27","7.61",,
"2021-03-15T02:50:03.000+08:00","3195.81","973.6","159.96","0","13.13","3.54","71","18.67","31.17","28.38","1007","26.11"
"2021-03-15T02:50:03.206+08:00","3351.39","964.76","166.07","0.48","9.81","1.81",,"4.89","7.81","7.39",,
"2021-03-15T03:00:04.000+08:00","3303.17","1005.02","181.65","0","12.62","1.33","71","19.04","32.46","30.1","1003.03","23.33"
"2021-03-15T03:00:04.202+08:00","3405.06","983","179.06","0.42","14.08","2.42",,"4.55","8.21","7.32",,
"2021-03-15T03:10:03.000+08:00","3292.64","1010.69","176.55","0","13.89","1.78","71","19.09","32.09","30.16","1006.95","26.11"
"2021-03-15T03:10:03.577+08:00","3458.12","992.33","194.37","0.55","13.69","3.53",,"4.73","8.75","7.88",,
"2021-03-15T03:20:03.000+08:00","3585.29","1090.86","193.18","0","15.82","2.25","72","20.2","35.43","32.31","1006.89","26.11"
"2021-03-15T03:20:03.975+08:00","3674.11","1051.22","172.63","0","10.33","2.48",,"5.24","8.5","8",,
"2021-03-15T03:30:05.000+08:00","3627.11","1095.95","195.43","0.16","14.73","1.21","71","20.46","35.12","32.45","1006.73","26.11"
"2021-03-15T03:30:05.911+08:00","3697.9","1063.1","172.85","0.62","11.5","3.31",,"5.21","8.56","7.87",,
"2021-03-15T03:40:03.000+08:00","3594.11","1094.61","199.33","0","15.56","1.72","71","20.2","35.35","32.31","1006.72","26.11"
"2021-03-15T03:40:04.024+08:00","3910.73","1111.83","197.42","0.5","15.15","3.31",,"5.42","9.46","8.6",,
"2021-03-15T03:50:02.000+08:00","3769.31","1125.78","178.44","0.2","17.73","3.78","71","20.64","35.76","31.87","1006.64","26.11"
"2021-03-15T03:50:02.594+08:00","3717.22","1066.89","194.94","0.44","11.78","3.89",,"5.22","9.3","8.56",,
"2021-03-15T04:00:05.000+08:00","3878.44","1181.94","189.22","0.19","11.78","1.02","71","22.02","35.67","33.04","1006.7","26.11"
"2021-03-15T04:00:05.318+08:00","4064.22","1169.69","211.43","0","12.22","4.78",,"5.91","10","9",,
"2021-03-15T04:10:02.000+08:00","3987.45","1200.19","208.19","0.08","14.36","2.85","71","21.68","37.89","33.68","1006.72","26.11"
"2021-03-15T04:10:02.882+08:00","4145.09","1180.93","222.38","0.71","13.93","4.29",,"6.02","10.32","9.36",,
"2021-03-15T04:20:02.000+08:00","3885.61","1179.69","201.67","0","15.52","2.72","71","21.57","37.11","33.37","1006.54","26.11"
"2021-03-15T04:20:02.882+08:00","4097.29","1160.88","190.08","1.33","11.88","3.65",,"5.9","9.76","8.76",,
"2021-03-15T04:30:03.000+08:00","3794.77","1147.08","203.55","0","16.21","2.64","72","21.11","36.94","33.04","1006.45","26.11"
"2021-03-15T04:30:03.291+08:00","3773.67","1095.39","186.28","0.19","16.3","3.15",,"5.26","9.31","8.61",,
"2021-03-15T04:40:03.000+08:00","3430.72","1048.59","179.15","0.33","12.5","1.98","72","20.02","32.89","30.8","1006.43","26.11"
"2021-03-15T04:40:03.180+08:00","3712.06","1070.09","179.74","0","10.26","3.19",,"5.26","8.72","7.98",,
"2021-03-15T04:50:03.000+08:00","3160.87","977.28","157.89","0","11.75","1.38","72","18.74","29.64","28.3","1006.39","25.56"
"2021-03-15T04:50:03.171+08:00","3106.67","900.65","169.33","0","10.44","3.44",,"4.13","7.44","7",,
