"time","purpleair.0.3_um_count","purpleair.0.5_um_count","purpleair.1.0_um_count","purpleair.10.0_um_count","purpleair.2.5_um_count","purpleair.5.0_um_count","purpleair.humidity","purpleair.pm1.0","purpleair.pm10.0","purpleair.pm2.5","purpleair.pressure","purpleair.temperature"
"2021-03-01T16:30:03.000+08:00","4781.67","1394.98","230.78","1.18","10.82","2.22","44","23.58","40.78","35.05","1005.87","96"
"2021-03-01T16:30:03.166+08:00","4158.91","1263.98","242.64","0.52","11.14","1.14",,"22.02","37.93","33.88",,
"2021-03-01T16:40:03.000+08:00","4754.05","1392.65","241.96","0.63","14.54","2.53","44","23.12","41.67","35.42","1005.78","96"
"2021-03-01T16:40:03.554+08:00","4245.74","1279.44","238.32","0","9.88","1.44",,"21.95","37.68","33.47",,
"2021-03-01T16:50:03.000+08:00","5040.95","1481.05","277.25","1.02","21.25","2.46","48","24.16","46.09","38.72","1005.63","96"
"2021-03-01T16:50:03.312+08:00","4306.67","1314.02","246.22","0.8","14.15","2.13",,"22.39","40.24","35",,
"2021-03-01T17:00:04.000+08:00","4988.29","1460.58","252.95","0.78","13.62","3.55","49","24.24","43.78","36.65","1005.55","95"
"2021-03-01T17:00:04.435+08:00","4423.22","1327.22","253.89","0.94","11.78","1.56",,"22.41","39.52","34.56",,
"2021-03-01T17:10:02.000+08:00","5075.63","1477.09","252.74","2.46","20.26","3.53","51","24.42","45.88","37.65","1005.54","94"
"2021-03-01T17:10:02.457+08:00","4569.05","1379.62","256.52","0.79","13.09","1.02",,"23.22","41.59","36.19",,
"2021-03-01T17:20:02.000+08:00","4843.91","1430.45","272.97","1.1","16.86","1.98","51","23.53","44","37.29","1005.73","94"
"2021-03-01T17:20:02.709+08:00","4210.77","1279.48","242.11","0.89","11.62","1.95",,"22.02","38.3","33.79",,
"2021-03-01T17:30:02.000+08:00","5195","1526.93","278.49","0.93","17.86","2.95","54","25.16","45.84","38.25","1005.69","93"
"2021-03-01T17:30:02.971+08:00","4450.5","1357.27","245.04","1.52","13.9","2.17",,"22.81","41.27","35.48",,
"2021-03-01T17:40:02.000+08:00","5327.11","1564.95","292.7","1.35","18.12","3.16","54","25.7","47.54","39.44","1005.71","93"
"2021-03-01T17:40:02.648+08:00","4687.34","1421.07","279","1.12","13.25","1.89",,"23.68","43.27","36.82",,
"2021-03-01T17:50:02.000+08:00","5257.85","1554.73","285.38","0.88","20.08","2.77","56","25.4","47.04","39.37","1005.8","92"
"2021-03-01T17:50:02.732+08:00","4635.98","1395.43","269.38","1.1","15","1.86",,"23.36","43.12","36.83",,
"2021-03-01T18:00:03.000+08:00","5152.44","1514.69","269.5","1.33","16.04","3.17","56","24.98","45.93","38.19","1005.84","92"
"2021-03-01T18:00:03.627+08:00","4502.21","1367.93","263.93","1.46","12.39","2.11",,"22.75","41.58","35.4",,
"2021-03-01T18:10:02.000+08:00","5320.09","1559.22","286.89","1.75","19.78","4.33","56","25.31","47.73","39.31","1005.87","92"
"2021-03-01T18:10:02.948+08:00","4466.89","1358.46","260.33","0.43","11.5","1.41",,"22.67","40.81","35.48",,
"2021-03-01T18:20:02.000+08:00","5762.89","1688.82","274.38","0.91","15.62","3.02","56","26.5","47.82","39.8","1006.08","92"
"2021-03-01T18:20:02.885+08:00","5015.43","1524.34","275.45","0.48","13.57","2.14",,"25","44.78","38.1",,
"2021-03-01T18:30:03.000+08:00","5500.5","1609.38","278.71","1.25","17.08","2.58","56","26.08","47.46","39.73","1006.26","92"
"2021-03-01T18:30:03.218+08:00","4680.2","1415.68","263.49","1.51","13.17","1.88",,"23.59","42.53","36.44",,
"2021-03-01T18:40:03.000+08:00","5150.49","1502.34","272.26","0.83","17.57","3.45","55","24.64","46","38.34","1006.58","92"
"2021-03-01T18:40:03.151+08:00","4751.89","1441.27","245.79","1.18","13.2","1.93",,"24.05","42.3","36.32",,
"2021-03-01T18:50:03.000+08:00","4911.32","1443.82","278.89","1.58","22.44","3.61","55","24","45.77","37.88","1006.67","92"
"2021-03-01T18:50:03.331+08:00","4341.16","1318.93","254.93","1.32","13.25","2.7",,"22.39","40.88","34.88",,
"2021-03-01T19:00:05.000+08:00","5031.33","1482.45","271.35","1.69","17.96","3.25","55","24.69","45.87","38","1006.75","92"
"2021-03-01T19:00:05.702+08:00","4510.39","1373.37","264.11","1.65","13.96","2.35",,"22.74","42.11","35.76",,
"2021-03-01T19:10:03.000+08:00","5041.33","1477.04","257.15","1.46","12.65","3.39","53","24.52","44.69","37.43","1006.86","92"
"2021-03-01T19:10:03.632+08:00","4582.79","1393.54","278.56","1.02","16.47","2.49",,"23.16","43.46","36.93",,
"2021-03-01T19:20:03.000+08:00","5330.83","1553.93","296.04","0.2","14.41","1.31","52","25.52","46.48","39.52","1006.85","92"
"2021-03-01T19:20:03.208+08:00","4733.67","1450.87","277.71","1.47","15.2","2.56",,"24.07","43.87","37.15",,
"2021-03-01T19:30:03.000+08:00","5407.47","1598.89","276.93","1.65","18.02","3.25","53","25.7","47.12","39.04","1006.91","92"
"2021-03-01T19:30:03.479+08:00","4829.31","1462.42","265.08","0.9","15.9","2.04",,"24.06","44.44","37.75",,
"2021-03-01T19:40:03.000+08:00","5314.67","1570.81","274.54","0.54","14.11","2.15","53","25.78","46.15","38.91","1007.08","92"
"2021-03-01T19:40:03.358+08:00","4761.79","1446.32","279.09","0.87","12.4","1.98",,"24.04","43.57","37.13",,
"2021-03-01T19:50:02.000+08:00","5087.94","1491.8","274.33","1.07","18.13","3.2","54","24.61","45.37","38.06","1007.16","92"
"2021-03-01T19:50:02.647+08:00","4452.91","1353.7","248.71","0.95","11.32","2.8",,"22.93","40.66","35",,
"2021-03-01T20:00:02.000+08:00","4962.4","1464.38","269.77","1.38","15.4","2.62","54","24.44","44.46","37.44","1007.34","91"
"2021-03-01T20:00:03.076+08:00","4204.61","1277.84","243.79","0.96","14.12","2.27",,"22.27","39.55","34.25",,
"2021-03-01T20:10:02.000+08:00","4949.14","1442.55","266.59","0.52","12.18","0.98","54","24.25","42.84","37.02","1007.51","91"
"2021-03-01T20:10:02.961+08:00","4322.28","1313.48","262.33","1","14","3.39",,"22.65","41.74","35.63",,
"2021-03-01T20:20:03.000+08:00","4841.24","1427.55","275.44","1.09","17.16","2.91","54","23.38","44.67","37.35","1007.64","91"
"2021-03-01T20:20:03.179+08:00","4428.74","1344.66","253.62","1.51","13.02","2.36",,"22.57","41.49","35.21",,
"2021-03-01T20:30:02.000+08:00","4787.48","1402.86","275.38","1.78","16.66","4.19","54","23.59","44.67","36.98","1007.69","91"
"2021-03-01T20:30:02.746+08:00","4310.44","1311.35","243.44","0.98","14.13","1.5",,"22.44","39.78","34.59",,
"2021-03-01T20:40:03.000+08:00","4807.61","1413.11","258.72","1.91","18.69","2.89","54","23.63","44.59","37.39","1007.81","91"
"2021-03-01T20:40:03.175+08:00","4325.25","1317.16","272.43","1.07","12.04","1.54",,"22.38","40.54","35.2",,
"2021-03-01T20:50:02.000+08:00","4867.58","1444.44","275.45","1.62","16.64","4.78","55","24.02","45.47","37.71","1007.9","90"
"2021-03-01T20:50:02.943+08:00","4264.78","1293.5","257.74","0.8","15.8","1.57",,"22.07","39.91","34.8",,
"2021-03-01T21:00:03.000+08:00","4847.56","1422.75","261.45","0.55","16.62","2.93","55","23.38","43.44","36.65","1008.08","90"
"2021-03-01T21:00:03.724+08:00","4244.26","1286.93","253.3","1.19","9.47","2.11",,"22.47","39.88","34.74",,
"2021-03-01T21:10:03.000+08:00","4835.68","1433.37","277","0.86","17.16","3.28","55","23.74","45.02","37.42","1008.11","90"
"2021-03-01T21:10:03.157+08:00","4191.4","1287.38","277.35","1.31","15.42","2.27",,"21.9","41.17","35.38",,
"2021-03-01T21:20:02.000+08:00","4732.56","1396.07","252.43","1.72","16.52","4.11","56","23.44","43.81","36.3","1008.19","90"
