Creating Time,Temperature(℃),Humidity(%),Light(lux),Voltage(V),WIFI RSSI(dBm),GSM RSSI(dBm),EXT1 Temperature(℃),EXT2 Temperature(℃),RS485 Temperature(℃),RS485 Humidity(%)
2021-04-07 13:43:01,,,,5,,,,,,
2021-04-07 13:41:37,,60,,,,,,,,
2021-04-07 13:41:37,24.03067,,,,,,,,,
2021-04-07 13:41:37,,,134.839996,,,,,,,
2021-04-07 13:36:37,,,119,,,,,,,
2021-04-07 13:36:37,23.958572,,,,,,,,,
2021-04-07 13:36:37,,60,,,,,,,,
2021-04-07 13:31:37,23.889145,,,,,,,,,
2021-04-07 13:31:37,,60,,,,,,,,
2021-04-07 13:31:37,,,127.479996,,,,,,,
2021-04-07 13:26:37,,60,,,,,,,,
2021-04-07 13:26:37,23.833069,,,,,,,,,
2021-04-07 13:26:37,,,125.839996,,,,,,,
2021-04-07 13:21:37,,,129.199997,,,,,,,
2021-04-07 13:21:37,,60,,,,,,,,
2021-04-07 13:21:37,23.734261,,,,,,,,,
2021-04-07 13:16:37,23.707558,,,,,,,,,
2021-04-07 13:16:37,,,128.959991,,,,,,,
2021-04-07 13:16:37,,61,,,,,,,,
2021-04-07 13:11:37,,,127.199997,,,,,,,
2021-04-07 13:11:37,23.662163,,,,,,,,,
2021-04-07 13:11:37,,61,,,,,,,,
2021-04-07 13:06:37,23.576714,,,,,,,,,
2021-04-07 13:06:37,,,126.799995,,,,,,,
2021-04-07 13:06:37,,61,,,,,,,,
2021-04-07 13:06:28,,,,4.848229,,,,,,
2021-04-07 13:01:37,,,128.119995,,,,,,,
2021-04-07 13:01:37,23.477913,,,,,,,,,
2021-04-07 13:01:37,,61,,,,,,,,
2021-04-07 12:56:37,23.45121,,,,,,,,,
2021-04-07 12:56:37,,,127.599998,,,,,,,
2021-04-07 12:56:37,,61,,,,,,,,
2021-04-07 12:51:37,23.352409,,,,,,,,,
2021-04-07 12:51:37,,,127.759995,,,,,,,
2021-04-07 12:51:37,,61,,,,,,,,
2021-04-07 12:46:37,,61,,,,,,,,
2021-04-07 12:46:37,,,127.639999,,,,,,,
2021-04-07 12:46:37,23.309685,,,,,,,,,
2021-04-07 12:41:37,23.197525,,,,,,,,,
2021-04-07 12:41:37,,,128.599991,,,,,,,
2021-04-07 12:41:37,,62,,,,,,,,
2021-04-07 12:36:37,23.141449,,,,,,,,,
2021-04-07 12:36:37,,,127.040001,,,,,,,
2021-04-07 12:36:37,,62,,,,,,,,
2021-04-07 12:31:37,,,131.279999,,,,,,,
2021-04-07 12:31:37,23.053329,,,,,,,,,
2021-04-07 12:31:37,,62,,,,,,,,
2021-04-07 12:26:37,,,132.959991,,,,,,,
2021-04-07 12:26:37,22.954529,,,,,,,,,
2021-04-07 12:26:37,,62,,,,,,,,
2021-04-07 12:21:37,22.87175,,,,,,,,,
2021-04-07 12:21:37,,,135,,,,,,,
2021-04-07 12:21:37,,61,,,,,,,,
2021-04-07 12:16:37,22.756927,,,,,,,,,
2021-04-07 12:16:37,,,135.360001,,,,,,,
2021-04-07 12:16:37,,62,,,,,,,,
2021-04-07 12:11:37,22.687492,,,,,,,,,
2021-04-07 12:11:37,,,137.800003,,,,,,,
2021-04-07 12:11:37,,62,,,,,,,,
2021-04-07 12:06:37,,,138.440002,,,,,,,
2021-04-07 12:06:37,22.631416,,,,,,,,,
2021-04-07 12:06:37,,62,,,,,,,,
2021-04-07 12:01:37,22.545967,,,,,,,,,
2021-04-07 12:01:37,,62,,,,,,,,
2021-04-07 12:01:37,,,141.119995,,,,,,,
2021-04-07 11:56:37,,62,,,,,,,,
2021-04-07 11:56:37,,,141.160004,,,,,,,
2021-04-07 11:56:37,22.444496,,,,,,,,,
2021-04-07 11:51:37,,,141.279999,,,,,,,
2021-04-07 11:51:37,22.375069,,,,,,,,,
2021-04-07 11:51:37,,62,,,,,,,,
2021-04-07 11:46:37,22.289619,,,,,,,,,
2021-04-07 11:46:37,,,41.34,,,,,,,
2021-04-07 11:46:37,,62,,,,,,,,
2021-04-07 11:41:37,,,38.809998,,,,,,,
2021-04-07 11:41:37,,62,,,,,,,,
2021-04-07 11:41:37,22.249557,,,,,,,,,
2021-04-07 11:36:37,,62,,,,,,,,
2021-04-07 11:36:37,,,39.27,,,,,,,
2021-04-07 11:36:37,22.206833,,,,,,,,,
2021-04-07 11:31:37,,,43.860001,,,,,,,
2021-04-07 11:31:37,,62,,,,,,,,
2021-04-07 11:31:37,22.134735,,,,,,,,,
2021-04-07 11:26:37,,61,,,,,,,,
2021-04-07 11:26:37,,,45.98,,,,,,,
2021-04-07 11:26:37,22.051956,,,,,,,,,
2021-04-07 11:21:37,22.022583,,,,,,,,,
2021-04-07 11:21:37,,61,,,,,,,,
2021-04-07 11:21:37,,,44.379997,,,,,,,
2021-04-07 11:16:37,22.009232,,,,,,,,,
2021-04-07 11:16:37,,,45.219997,,,,,,,
2021-04-07 11:16:37,,61,,,,,,,,
2021-04-07 11:11:37,,,45.759998,,,,,,,
2021-04-07 11:11:37,,61,,,,,,,,
2021-04-07 11:11:37,21.953156,,,,,,,,,
2021-04-07 11:06:37,,61,,,,,,,,
2021-04-07 11:06:37,,,46.719997,,,,,,,
2021-04-07 11:06:37,21.910431,,,,,,,,,
2021-04-07 11:01:37,21.883728,,,,,,,,,
2021-04-07 11:01:37,,,47.48,,,,,,,
2021-04-07 11:01:37,,61,,,,,,,,
2021-04-07 10:56:37,21.838333,,,,,,,,,
2021-04-07 10:56:37,,,48.139999,,,,,,,
2021-04-07 10:56:37,,61,,,,,,,,
2021-04-07 10:51:37,,61,,,,,,,,
2021-04-07 10:51:37,21.838333,,,,,,,,,
2021-04-07 10:51:37,,,49.059998,,,,,,,
2021-04-07 10:46:37,,61,,,,,,,,
2021-04-07 10:46:37,,,49.799999,,,,,,,
2021-04-07 10:46:37,21.824982,,,,,,,,,
2021-04-07 10:41:37,,,52.16,,,,,,,
2021-04-07 10:41:37,,61,,,,,,,,
2021-04-07 10:41:37,21.795609,,,,,,,,,
