"time","Steerpath.Accuracy","Steerpath.Floor","Steerpath.Latitude","Steerpath.Longitude","Steerpath.Space","Steerpath.Space_id"
"2021-03-18T13:49:07.311+08:00","2.25","3","1.2967911839736825","103.77047610366662",,"2"
"2021-03-18T13:59:10.937+08:00","0.75","3","1.2967708357477088","103.77046936457721",,"2"
"2021-03-18T13:59:10.999+08:00","0.75","3","1.2967708357477088","103.77046936457721",,"2"
"2021-03-18T13:59:21.435+08:00","3.25","3","1.297308085020436","103.77033458278892",,"110"
"2021-03-18T13:59:22.555+08:00","2.5","3","1.297308085020436","103.77033458278892",,"110"
"2021-03-18T13:59:42.739+08:00","1.75","3","1.296779879403697","103.77046936457721",,"2"
"2021-03-18T13:59:43.519+08:00","1.75","3","1.296779879403697","103.77046936457721",,"2"
"2021-03-18T14:00:05.859+08:00","5.5","3","1.297335215988401","103.77037052459913",,"110"
"2021-03-18T14:00:06.836+08:00","4.75","4","1.2973419987303922","103.77037052459913",,
"2021-03-18T14:00:27.519+08:00","2.75","3","1.2968296195116331","103.77049407457173",,"2"
"2021-03-18T14:00:28.380+08:00","2.75","3","1.2968205758556448","103.77048958184545",,"2"
"2021-03-18T14:00:54.156+08:00","0.75","3","1.2967708357477088","103.77046936457721",,"2"
"2021-03-18T14:00:54.859+08:00","0.75","3","1.2967708357477088","103.77046936457721",,"2"
"2021-03-18T14:01:03.879+08:00","1","3","1.2967708357477088","103.77046936457721",,"2"
"2021-03-18T14:01:04.720+08:00","1","3","1.2967708357477088","103.77046936457721",,"2"
"2021-03-18T14:01:52.857+08:00","1.75","3","1.296773096661706","103.77046936457721",,"2"
"2021-03-18T14:01:53.940+08:00","1.75","3","1.296773096661706","103.77046936457721",,"2"
"2021-03-18T14:02:21.957+08:00","0.5","3","1.2967685748337117","103.77046487185093",,"2"
"2021-03-18T14:02:22.821+08:00","0.5","3","1.2967685748337117","103.77046487185093",,"2"
"2021-03-18T14:02:40.057+08:00","2.5","3","1.2967708357477088","103.77046936457721",,"2"
"2021-03-18T14:02:40.957+08:00","2.5","3","1.2967663139197145","103.77046711821407",,
"2021-03-18T14:02:57.301+08:00","0.75","3","1.2967708357477088","103.77046936457721",,"2"
"2021-03-18T14:02:58.256+08:00","0.75","3","1.2967708357477088","103.77046936457721",,"2"
"2021-03-18T14:03:15.400+08:00","0.75","3","1.296773096661706","103.77047161094035",,"2"
"2021-03-18T14:03:16.303+08:00","0.75","3","1.296773096661706","103.77047161094035",,"2"
"2021-03-18T14:03:38.476+08:00","0.5","3","1.2967708357477088","103.77046711821407",,"2"
"2021-03-18T14:03:39.337+08:00","0.5","3","1.2967708357477088","103.77046711821407",,"2"
"2021-03-18T15:09:51.255+08:00","5.5","6","1.297138516470654","103.77070298634357",,
"2021-03-18T15:09:51.835+08:00","4.25","3","1.2967572702637262","103.77045813276152",,"0"
"2021-03-22T13:49:39.575+08:00","1.5","3","1.2967957058016768","103.77046037912466",,"2"
"2021-03-22T13:49:47.632+08:00","2.5","3","1.2967889230596856","103.77044914730897",,"2"
"2021-03-22T13:49:50.872+08:00","2.5","3","1.2967889230596856","103.77044914730897",,"2"
"2021-03-22T13:50:03.972+08:00","2.25","3","1.296775357575703","103.7704626254878",,"2"
"2021-03-22T13:50:04.855+08:00","2.75","3","1.296775357575703","103.7704626254878",,"2"
"2021-03-22T13:50:26.892+08:00","2.5","3","1.296779879403697","103.77045364003524",,"2"
"2021-03-22T13:50:28.453+08:00","2.5","3","1.296779879403697","103.77045364003524",,"2"
"2021-03-22T13:50:38.293+08:00","2.5","3","1.2967821403176942","103.77046037912466",,"2"
"2021-03-22T13:50:39.273+08:00","2.25","3","1.2967821403176942","103.77046037912466",,"2"
"2021-03-22T13:50:47.912+08:00","9.25","3","1.2967911839736825","103.77044240821955",,"2"
"2021-03-22T13:50:48.836+08:00","6.25","3","1.296797966715674","103.77045588639838",,"2"
"2021-03-22T13:50:57.573+08:00","2.25","3","1.2967866621456885","103.7704626254878",,"2"
"2021-03-22T13:50:58.614+08:00","2.25","3","1.2967866621456885","103.7704513936721",,"2"
"2021-03-22T13:51:07.674+08:00","1","3","1.2967821403176942","103.77044914730897",,"2"
"2021-03-22T13:51:08.693+08:00","1","3","1.2967821403176942","103.77044914730897",,"2"
"2021-03-22T13:51:17.573+08:00","2.75","3","1.2967844012316914","103.77044465458269",,"2"
"2021-03-22T13:51:18.581+08:00","2.75","3","1.2967844012316914","103.77044465458269",,"2"
"2021-03-22T13:51:27.620+08:00","1.5","3","1.2967866621456885","103.77044016185641",,"2"
"2021-03-22T13:51:28.701+08:00","1.5","3","1.2967866621456885","103.77044016185641",,"2"
"2021-03-22T13:51:37.701+08:00","2","3","1.2967844012316914","103.77044465458269",,"2"
"2021-03-22T13:51:40.621+08:00","1","3","1.2967844012316914","103.77044465458269",,"2"
"2021-03-22T13:51:47.584+08:00","1.5","3","1.2967844012316914","103.77044465458269",,"2"
"2021-03-22T13:51:50.660+08:00","1.25","3","1.2967866621456885","103.77044914730897",,"2"
"2021-03-22T13:51:57.621+08:00","1","3","1.296773096661706","103.77046487185093",,"2"
"2021-03-22T13:52:00.641+08:00","1.5","3","1.296773096661706","103.77046487185093",,"2"
"2021-03-22T13:52:07.581+08:00","3.75","3","1.2967595311777234","103.77045364003524",,"0"
"2021-03-22T13:52:10.561+08:00","2.75","3","1.2967595311777234","103.77045364003524",,"0"
"2021-03-22T13:52:17.561+08:00","4.25","3","1.2967595311777234","103.77045364003524",,"0"
"2021-03-22T13:52:20.622+08:00","2.5","3","1.2967595311777234","103.77045364003524",,"0"
"2021-03-22T13:52:27.601+08:00","5.5","3","1.2967595311777234","103.77045364003524",,"0"
"2021-03-22T13:52:30.661+08:00","4.25","3","1.2967595311777234","103.77045364003524",,"0"
"2021-03-22T13:52:37.722+08:00","4.75","3","1.2967595311777234","103.77047161094035",,"0"
"2021-03-22T13:52:40.861+08:00","6.25","3","1.2967595311777234","103.77047161094035",,"0"
"2021-03-22T13:52:47.581+08:00","8.25","3","1.2967776184897002","103.77049407457173",,"2"
"2021-03-22T13:52:50.722+08:00","8.25","3","1.296775357575703","103.770498567298",,"2"
"2021-03-22T13:52:57.802+08:00","5.5","3","1.296779879403697","103.77049407457173",,"2"
"2021-03-22T13:53:01.721+08:00","6.25","3","1.2967776184897002","103.770498567298",,"2"
"2021-03-22T13:53:09.841+08:00","7.25","3","1.296797966715674","103.77053001638193",,"4"
"2021-03-22T13:53:13.001+08:00","5.5","3","1.296800227629671","103.77049407457173",,"2"
"2021-03-22T13:53:20.663+08:00","3.75","3","1.296773096661706","103.77047610366662",,"2"
"2021-03-22T13:53:23.662+08:00","3.75","3","1.2967685748337117","103.7704805963929",,"2"
"2021-03-22T13:53:30.845+08:00","5.5","3","1.2967595311777234","103.77045364003524",,"0"
"2021-03-22T13:53:33.702+08:00","7.25","3","1.2967595311777234","103.77045364003524",,"0"
"2021-03-22T13:53:40.802+08:00","4.75","3","1.2967776184897002","103.77049182820859",,"2"
"2021-03-22T13:53:43.742+08:00","4.25","3","1.2967776184897002","103.77049182820859",,"2"
"2021-03-22T13:53:51.782+08:00","3.75","3","1.296773096661706","103.77048508911918",,"2"
"2021-03-22T13:53:54.763+08:00","5.5","3","1.2967572702637262","103.77045364003524",,"0"
"2021-03-22T13:54:01.783+08:00","3.75","3","1.2967572702637262","103.77046037912466",,"0"
"2021-03-22T13:54:04.862+08:00","2.25","3","1.296775357575703","103.77047610366662",,"2"
"2021-03-22T13:54:11.802+08:00","2.75","3","1.2967708357477088","103.77047385730349",,"2"
"2021-03-22T13:54:14.863+08:00","2.5","3","1.2967781837181995","103.77046880298643",,"2"
"2021-03-22T13:54:21.862+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:54:24.942+08:00","2.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:54:31.902+08:00","4.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:54:34.883+08:00","3.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:54:41.923+08:00","3.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:54:44.903+08:00","5.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:54:51.902+08:00","3.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:54:54.923+08:00","4.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:55:01.926+08:00","10.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:55:04.923+08:00","12","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:55:11.915+08:00","6.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:55:14.955+08:00","4.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:55:21.975+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:55:24.955+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:55:31.995+08:00","4.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:55:35.040+08:00","6.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:55:41.938+08:00","4.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:55:44.955+08:00","3.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:55:51.955+08:00","2.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:55:54.935+08:00","2.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:56:01.975+08:00","2.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:56:04.956+08:00","2.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:56:11.975+08:00","2.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:56:14.976+08:00","3.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:56:21.996+08:00","3.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:56:25.016+08:00","3.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:56:32.056+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:56:35.056+08:00","2.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:56:42.035+08:00","2.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:56:45.057+08:00","2.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:56:52.056+08:00","2.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:56:55.036+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:57:02.096+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:57:05.076+08:00","2.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:57:12.137+08:00","2.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:57:15.096+08:00","3.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:57:22.117+08:00","3.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:57:25.096+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:57:32.116+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:57:35.336+08:00","3.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:57:42.136+08:00","2.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:57:45.156+08:00","3.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:57:52.156+08:00","3.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:57:55.176+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:58:02.197+08:00","3.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:58:05.197+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:58:12.256+08:00","3.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:58:15.197+08:00","3.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:58:22.496+08:00","3.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:58:25.420+08:00","4.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:58:32.238+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:58:35.257+08:00","3.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:58:42.257+08:00","4.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:58:45.237+08:00","4.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:58:52.299+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:58:55.318+08:00","2.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:59:02.378+08:00","2","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:59:05.317+08:00","2","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:59:12.337+08:00","2.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:59:15.398+08:00","3.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:59:22.383+08:00","3.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:59:25.398+08:00","4.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:59:32.677+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:59:35.517+08:00","2.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:59:43.598+08:00","4.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:59:46.437+08:00","3.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:59:53.459+08:00","3.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T13:59:56.598+08:00","4.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:00:03.618+08:00","4.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:00:06.517+08:00","4.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:00:13.778+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:00:17.198+08:00","5.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:00:24.898+08:00","3.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:00:28.197+08:00","5.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:00:37.839+08:00","2.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:00:40.798+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:00:47.838+08:00","3.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:00:50.758+08:00","4.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:00:57.798+08:00","3.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:01:00.698+08:00","2.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:01:07.838+08:00","2.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:01:10.698+08:00","2.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:01:17.738+08:00","2.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:01:20.818+08:00","2","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:01:28.158+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:01:31.198+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:01:38.298+08:00","2.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:01:41.339+08:00","1.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:01:48.242+08:00","2","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:01:51.258+08:00","2.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:01:59.558+08:00","2","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:02:02.499+08:00","2","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:02:09.299+08:00","1.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:02:12.279+08:00","1.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:02:19.278+08:00","2","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:02:22.279+08:00","1.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:02:29.279+08:00","2.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:02:32.298+08:00","2.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:02:39.399+08:00","2.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:02:42.318+08:00","1.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:02:49.381+08:00","2.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:02:52.360+08:00","2.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:02:59.379+08:00","2.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:03:02.359+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:03:09.363+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:03:12.359+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:03:19.399+08:00","3.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:03:22.439+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:03:29.439+08:00","1.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:03:32.399+08:00","1.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:03:40.719+08:00","3.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:03:44.139+08:00","3.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:03:53.881+08:00","3.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:03:56.880+08:00","3.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:04:03.900+08:00","4.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:04:06.980+08:00","2.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:04:13.900+08:00","3.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:04:16.920+08:00","3.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:04:23.920+08:00","3.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:04:26.939+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:04:33.923+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:04:36.940+08:00","3.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:04:43.962+08:00","2.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:04:46.941+08:00","3.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:04:53.980+08:00","2.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:04:56.961+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:05:03.960+08:00","2.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:05:06.980+08:00","2.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:05:14.081+08:00","2.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:05:17.020+08:00","2","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:05:24.060+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:05:27.042+08:00","3.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:05:34.040+08:00","2.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:05:37.040+08:00","2.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:05:44.100+08:00","2.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:05:47.040+08:00","1.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:05:54.100+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:05:57.121+08:00","2.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:06:04.120+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:06:07.100+08:00","2.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:06:14.101+08:00","1.5","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:06:17.141+08:00","1.25","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:06:24.340+08:00","1.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:06:27.320+08:00","1.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:06:34.281+08:00","2","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:06:37.361+08:00","2.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:06:44.281+08:00","4.75","3","1.2967822816248191","103.77046473145325",,"2"
"2021-03-22T14:06:47.261+08:00","4.25","3","1.2967822816248191","103.77046473145325",,"2"
