"time","senSING.humidity","senSING.light","senSING.noise","senSING.temperature"
"2021-03-26T16:42:58.000+08:00","71.013","40","59","29.9681"
"2021-03-26T16:45:38.000+08:00","71.6111","40","56","30.0401"
"2021-03-26T16:46:38.000+08:00","71.4479","37","59","30.0849"
"2021-03-26T16:47:38.000+08:00","71.8864","40","59","30.0714"
"2021-03-26T16:48:38.000+08:00","71.6565","35","59","30.0265"
"2021-03-26T16:49:38.000+08:00","71.6857","35","57","29.9963"
"2021-03-26T16:50:38.000+08:00","69.0416","36","60","29.7731"
"2021-03-26T16:51:38.000+08:00","72.3765","36","60","29.4497"
"2021-03-26T16:52:38.000+08:00","72.0245","36","58","29.3746"
"2021-03-26T16:53:38.000+08:00","71.5156","36","59","29.1796"
"2021-03-26T16:54:38.000+08:00","74.0268","36","59","29.3611"
"2021-03-26T16:55:38.000+08:00","73.1973","36","58","29.6395"
"2021-03-26T16:56:38.000+08:00","73.1657","36","59","29.7428"
"2021-03-26T16:57:38.000+08:00","71.9285","36","59","29.7731"
"2021-03-26T16:58:38.000+08:00","72.3407","38","58","29.7146"
"2021-03-26T16:59:38.000+08:00","72.1955","41","61","29.4779"
"2021-03-26T17:00:38.000+08:00","72.2718","41","59","29.2547"
"2021-03-26T17:01:38.000+08:00","74.9878","41","56","29.2547"
"2021-03-26T17:02:38.000+08:00","74.987","40","58","29.4195"
"2021-03-26T17:03:38.000+08:00","76.4087","39","58","29.5811"
"2021-03-26T17:04:38.000+08:00","76.2358","35","58","29.6114"
"2021-03-26T17:05:38.000+08:00","71.1518","36","56","29.4779"
"2021-03-26T17:06:38.000+08:00","73.7426","38","56","29.2828"
"2021-03-26T17:07:38.000+08:00","76.9795","36","60","29.1796"
"2021-03-26T17:08:38.000+08:00","74.9319","37","62","28.9741"
"2021-03-26T17:09:38.000+08:00","79.1986","37","61","28.9011"
"2021-03-26T17:10:38.000+08:00","78.5884","39","59","29.2693"
"2021-03-26T17:11:38.000+08:00","75.9045","41","59","29.2828"
"2021-03-26T17:12:38.000+08:00","77.7162","38","56","29.2244"
"2021-03-26T17:13:38.000+08:00","78.2284","41","61","29.3892"
"2021-03-26T17:14:38.000+08:00","77.7102","41","62","29.5081"
"2021-03-26T17:15:38.000+08:00","74.5545","41","60","29.4059"
"2021-03-26T17:16:38.000+08:00","78.3897","42","58","29.4497"
"2021-03-26T17:17:38.000+08:00","77.83","41","59","29.4914"
"2021-03-26T17:18:38.000+08:00","77.3787","40","59","29.626"
"2021-03-26T17:19:38.000+08:00","76.0797","37","56","29.7146"
"2021-03-26T17:20:38.000+08:00","76.499","36","60","29.7866"
"2021-03-26T17:21:38.000+08:00","76.7819","40","62","29.7282"
"2021-03-26T17:22:38.000+08:00","76.2676","41","60","29.6114"
"2021-03-26T17:23:38.000+08:00","76.8615","40","56","29.4779"
"2021-03-26T17:24:38.000+08:00","76.1831","41","59","29.5081"
"2021-03-26T17:25:38.000+08:00","75.7503","42","60","29.6562"
"2021-03-26T17:26:38.000+08:00","74.9481","37","60","29.8315"
"2021-03-26T17:27:38.000+08:00","74.6127","36","56","29.8461"
"2021-03-26T17:28:38.000+08:00","75.1195","37","60","29.7011"
"2021-03-26T17:29:38.000+08:00","74.9385","36","57","29.7595"
"2021-03-26T17:30:38.000+08:00","75.2085","36","58","29.7595"
"2021-03-26T17:31:38.000+08:00","75.3104","39","57","29.7282"
"2021-03-26T17:32:38.000+08:00","72.0766","41","61","29.5811"
"2021-03-26T17:33:38.000+08:00","74.3336","41","56","29.4914"
"2021-03-26T17:34:38.000+08:00","74.0983","41","60","29.3746"
"2021-03-26T17:35:38.000+08:00","75.2138","41","57","29.1525"
"2021-03-26T17:36:38.000+08:00","77.8627","41","59","29.1963"
"2021-03-26T17:37:38.000+08:00","77.5002","41","56","29.3277"
"2021-03-26T17:38:38.000+08:00","73.8255","41","57","29.2995"
"2021-03-26T17:39:38.000+08:00","75.9059","41","58","29.1525"
"2021-03-26T17:40:38.000+08:00","77.7173","41","60","29.166"
"2021-03-26T17:41:38.000+08:00","78.166","41","57","29.3746"
"2021-03-26T17:42:38.000+08:00","78.0658","40","60","29.4643"
"2021-03-26T17:43:38.000+08:00","78.0792","41","56","29.4779"
"2021-03-26T17:44:38.000+08:00","77.8579","38","59","29.6395"
"2021-03-26T17:45:37.000+08:00","77.7717","40","60","29.5947"
"2021-03-26T17:46:37.000+08:00","77.8478","41","59","29.6114"
"2021-03-26T17:47:37.000+08:00","77.6794","41","59","29.6114"
"2021-03-26T17:48:37.000+08:00","78.3246","40","59","29.6114"
"2021-03-26T17:49:37.000+08:00","76.8954","40","58","29.6698"
"2021-03-26T17:50:37.000+08:00","77.9014","41","59","29.6698"
"2021-03-26T17:51:37.000+08:00","77.7079","41","59","29.7866"
"2021-03-26T17:52:37.000+08:00","77.4757","40","58","29.8179"
"2021-03-26T17:53:37.000+08:00","77.7011","41","60","29.7731"
"2021-03-26T17:54:37.000+08:00","77.7863","41","62","29.7731"
"2021-03-26T17:55:37.000+08:00","77.6243","41","59","29.7595"
"2021-03-26T17:56:37.000+08:00","78.1186","41","58","29.7731"
"2021-03-26T17:57:37.000+08:00","78.1611","39","60","29.7595"
"2021-03-26T17:58:37.000+08:00","78.2116","39","57","29.7146"
"2021-03-26T17:59:37.000+08:00","78.6766","40","59","29.6698"
"2021-03-26T18:00:37.000+08:00","78.3902","38","61","29.626"
"2021-03-26T18:01:37.000+08:00","78.4501","38","61","29.7428"
"2021-03-26T18:02:37.000+08:00","78.7619","39","56","29.6698"
"2021-03-26T18:03:37.000+08:00","78.7421","40","57","29.7282"
"2021-03-26T18:04:37.000+08:00","78.8306","40","56","29.6562"
"2021-03-26T18:05:37.000+08:00","79.0425","40","56","29.5947"
"2021-03-26T18:06:37.000+08:00","79.1198","38","60","29.6395"
"2021-03-26T18:07:37.000+08:00","79.1978","38","57","29.5947"
"2021-03-26T18:08:37.000+08:00","79.3814","37","61","29.5811"
"2021-03-26T18:09:37.000+08:00","79.4733","37","59","29.5811"
"2021-03-26T18:10:37.000+08:00","79.5147","37","59","29.553"
"2021-03-26T18:11:37.000+08:00","79.5363","37","61","29.6114"
"2021-03-26T18:12:37.000+08:00","78.8005","36","59","29.3611"
"2021-03-26T18:13:37.000+08:00","79.8972","36","60","29.2995"
"2021-03-26T18:14:37.000+08:00","80.5944","36","59","29.2109"
"2021-03-26T18:15:37.000+08:00","79.8632","37","58","29.3611"
"2021-03-26T18:16:37.000+08:00","78.5764","37","57","29.2547"
"2021-03-26T18:17:37.000+08:00","80.2918","36","57","29.2828"
"2021-03-26T18:18:37.000+08:00","80.607","39","58","29.2411"
"2021-03-26T18:19:37.000+08:00","79.7819","37","59","29.1358"
"2021-03-26T18:20:37.000+08:00","80.6818","37","59","29.3141"
"2021-03-26T18:21:37.000+08:00","80.2605","37","59","29.2244"
"2021-03-26T18:22:37.000+08:00","80.2874","36","57","29.4195"
"2021-03-26T18:23:37.000+08:00","79.9106","37","58","29.5676"
"2021-03-26T18:24:37.000+08:00","79.8806","33","59","29.5081"
"2021-03-26T18:25:37.000+08:00","79.9238","33","60","29.553"
"2021-03-26T18:26:37.000+08:00","79.9205","34","61","29.553"
"2021-03-26T18:27:37.000+08:00","79.6231","33","58","29.5811"
"2021-03-26T18:28:37.000+08:00","79.9399","35","60","29.6114"
"2021-03-26T18:29:37.000+08:00","79.9249","33","59","29.553"
"2021-03-26T18:30:37.000+08:00","80.2809","36","60","29.5227"
"2021-03-26T18:31:37.000+08:00","80.2047","36","58","29.4643"
"2021-03-26T18:32:37.000+08:00","80.3477","37","59","29.433"
"2021-03-26T18:33:37.000+08:00","80.5106","36","58","29.4195"
"2021-03-26T18:34:37.000+08:00","80.5719","35","55","29.4195"
"2021-03-26T18:35:37.000+08:00","80.7137","37","59","29.2995"
"2021-03-26T18:36:37.000+08:00","80.7483","36","59","29.2828"
"2021-03-26T18:37:37.000+08:00","80.6188","36","57","29.4059"
"2021-03-26T18:38:37.000+08:00","79.3673","36","60","29.3141"
"2021-03-26T18:39:37.000+08:00","80.3284","36","58","29.2995"
"2021-03-26T18:40:37.000+08:00","80.5757","36","61","29.3141"
"2021-03-26T18:41:37.000+08:00","80.6288","37","60","29.3444"
"2021-03-26T18:42:37.000+08:00","80.1031","36","59","29.4497"
"2021-03-26T18:43:37.000+08:00","79.8123","33","61","29.5811"
"2021-03-26T18:44:37.000+08:00","79.809","34","60","29.553"
