"time","senSING.humidity","senSING.light","senSING.noise","senSING.temperature"
"2021-03-29T14:54:44.000+08:00","56.3702","479","46","20.9722"
"2021-03-29T14:55:44.000+08:00","55.4706","480","46","21.2089"
"2021-03-29T14:56:44.000+08:00","54.9287","482","48","21.3842"
"2021-03-29T14:57:44.000+08:00","54.4888","481","46","21.5323"
"2021-03-29T14:58:44.000+08:00","54.197","480","49","21.6042"
"2021-03-29T14:59:44.000+08:00","53.956","480","48","21.6626"
"2021-03-29T15:00:44.000+08:00","53.8502","480","47","21.6908"
"2021-03-29T15:01:44.000+08:00","53.6617","481","48","21.7377"
"2021-03-29T15:02:44.000+08:00","53.5685","480","50","21.7523"
"2021-03-29T15:03:44.000+08:00","53.6088","480","56","21.7523"
"2021-03-29T15:04:44.000+08:00","53.5528","480","54","21.7523"
"2021-03-29T15:05:44.000+08:00","53.4755","480","50","21.7523"
"2021-03-29T15:06:44.000+08:00","53.5195","479","53","21.7377"
"2021-03-29T15:07:44.000+08:00","53.6412","479","55","21.7075"
"2021-03-29T15:08:44.000+08:00","53.5055","480","50","21.721"
"2021-03-29T15:09:44.000+08:00","53.5376","479","52","21.769"
"2021-03-29T15:10:44.000+08:00","53.4993","479","49","21.7961"
"2021-03-29T15:11:44.000+08:00","53.4497","480","47","21.7523"
"2021-03-29T15:12:44.000+08:00","53.6001","480","47","21.7377"
"2021-03-29T15:13:44.000+08:00","53.8898","480","47","21.721"
"2021-03-29T15:14:44.000+08:00","53.7315","480","47","21.6908"
"2021-03-29T15:15:44.000+08:00","53.8099","480","46","21.6908"
"2021-03-29T15:16:44.000+08:00","53.7207","480","45","21.6626"
"2021-03-29T15:17:44.000+08:00","53.8507","480","45","21.6626"
"2021-03-29T15:18:44.000+08:00","53.6535","480","45","21.6626"
"2021-03-29T15:19:44.000+08:00","53.6486","480","45","21.6908"
"2021-03-29T15:20:44.000+08:00","53.6501","480","47","21.6626"
"2021-03-29T15:21:44.000+08:00","53.4895","480","46","21.6908"
"2021-03-29T15:22:44.000+08:00","53.6524","480","45","21.6491"
"2021-03-29T15:23:44.000+08:00","53.6251","481","46","21.6324"
"2021-03-29T15:24:44.000+08:00","53.5348","481","45","21.6491"
"2021-03-29T15:25:44.000+08:00","53.5582","480","45","21.6626"
"2021-03-29T15:26:44.000+08:00","53.574","480","45","21.6491"
"2021-03-29T15:27:44.000+08:00","53.4306","479","45","21.6491"
"2021-03-29T15:28:44.000+08:00","53.492","481","45","21.6178"
"2021-03-29T15:29:44.000+08:00","53.6176","480","45","21.5594"
"2021-03-29T15:30:44.000+08:00","53.5616","479","45","21.5458"
"2021-03-29T15:31:44.000+08:00","53.7241","480","46","21.501"
"2021-03-29T15:32:44.000+08:00","53.7866","479","47","21.5156"
"2021-03-29T15:33:44.000+08:00","53.9065","480","47","21.5156"
"2021-03-29T15:34:44.000+08:00","53.8808","480","49","21.5156"
"2021-03-29T15:35:44.000+08:00","53.8711","480","47","21.4874"
"2021-03-29T15:36:44.000+08:00","53.8296","478","46","21.4874"
"2021-03-29T15:37:44.000+08:00","53.8712","476","50","21.4739"
"2021-03-29T15:38:44.000+08:00","53.8453","479","46","21.4874"
"2021-03-29T15:39:44.000+08:00","53.7039","479","46","21.501"
"2021-03-29T15:40:44.000+08:00","53.7631","480","47","21.4572"
"2021-03-29T15:41:44.000+08:00","53.7242","480","46","21.4426"
"2021-03-29T15:42:44.000+08:00","53.63","481","54","21.4874"
"2021-03-29T15:43:44.000+08:00","53.5762","480","56","21.4874"
"2021-03-29T15:44:44.000+08:00","53.4996","480","52","21.4572"
"2021-03-29T15:45:44.000+08:00","53.5938","480","49","21.4572"
