Creating Time,Temperature(℃),Humidity(%),Light(lux),Voltage(V),WIFI RSSI(dBm),GSM RSSI(dBm),EXT1 Temperature(℃),EXT2 Temperature(℃),RS485 Temperature(℃),RS485 Humidity(%)
2021-03-25 14:38:19,,65,,,,,,,,
2021-03-25 14:38:19,25.005341,,,,,,,,,
2021-03-25 14:38:19,,,575.839966,,,,,,,
2021-03-25 14:36:34,,,,5,,,,,,
2021-03-25 14:32:54,,66,,,,,,,,
2021-03-25 14:32:54,23.790344,,,,,,,,,
2021-03-25 14:32:54,,,276.559998,,,,,,,
2021-03-25 14:27:54,,,276.320007,,,,,,,
2021-03-25 14:27:54,23.734261,,,,,,,,,
2021-03-25 14:27:54,,66,,,,,,,,
2021-03-25 14:22:54,,66,,,,,,,,
2021-03-25 14:22:54,23.720909,,,,,,,,,
2021-03-25 14:22:54,,,276.559998,,,,,,,
2021-03-25 14:17:54,,66,,,,,,,,
2021-03-25 14:17:54,23.720909,,,,,,,,,
2021-03-25 14:17:54,,,276.23999,,,,,,,
2021-03-25 14:12:54,,,277.040009,,,,,,,
2021-03-25 14:12:54,23.702217,,,,,,,,,
2021-03-25 14:12:54,,66,,,,,,,,
2021-03-25 14:07:54,23.702217,,,,,,,,,
2021-03-25 14:07:54,,,0.29,,,,,,,
2021-03-25 14:07:54,,65,,,,,,,,
2021-03-25 14:02:54,,,0.29,,,,,,,
2021-03-25 14:02:54,23.734261,,,,,,,,,
2021-03-25 14:02:54,,65,,,,,,,,
2021-03-25 13:57:54,,,0.29,,,,,,,
2021-03-25 13:57:54,,65,,,,,,,,
2021-03-25 13:57:54,23.760971,,,,,,,,,
2021-03-25 13:52:54,,65,,,,,,,,
2021-03-25 13:52:54,,,275.839996,,,,,,,
2021-03-25 13:52:54,23.803696,,,,,,,,,
2021-03-25 13:47:54,,,0.3,,,,,,,
2021-03-25 13:47:54,23.803696,,,,,,,,,
2021-03-25 13:47:54,,65,,,,,,,,
2021-03-25 13:42:54,23.833069,,,,,,,,,
2021-03-25 13:42:54,,66,,,,,,,,
2021-03-25 13:42:54,,,278.47998,,,,,,,
2021-03-25 13:37:54,,,278.639984,,,,,,,
2021-03-25 13:37:54,23.859772,,,,,,,,,
2021-03-25 13:37:54,,66,,,,,,,,
2021-03-25 13:32:54,,,278.880005,,,,,,,
2021-03-25 13:32:54,23.859772,,,,,,,,,
2021-03-25 13:32:54,,66,,,,,,,,
2021-03-25 13:27:54,23.819717,,,,,,,,,
2021-03-25 13:27:54,,,278.559998,,,,,,,
2021-03-25 13:27:54,,66,,,,,,,,
2021-03-25 13:22:54,,65,,,,,,,,
2021-03-25 13:22:54,23.819717,,,,,,,,,
2021-03-25 13:22:54,,,278.799988,,,,,,,
2021-03-25 13:17:54,,65,,,,,,,,
2021-03-25 13:17:54,,,278.799988,,,,,,,
2021-03-25 13:17:54,23.803696,,,,,,,,,
2021-03-25 13:12:54,,65,,,,,,,,
2021-03-25 13:12:54,23.833069,,,,,,,,,
2021-03-25 13:12:54,,,278.559998,,,,,,,
2021-03-25 13:12:52,,,,5.725834,,,,,,
2021-03-25 13:07:54,,,278.880005,,,,,,,
2021-03-25 13:07:54,23.833069,,,,,,,,,
2021-03-25 13:07:54,,65,,,,,,,,
2021-03-25 13:02:54,23.833069,,,,,,,,,
2021-03-25 13:02:54,,,278.639984,,,,,,,
2021-03-25 13:02:54,,65,,,,,,,,
2021-03-25 12:57:54,,,278.799988,,,,,,,
2021-03-25 12:57:54,,65,,,,,,,,
2021-03-25 12:57:54,23.84642,,,,,,,,,
2021-03-25 12:52:54,,66,,,,,,,,
2021-03-25 12:52:54,23.875793,,,,,,,,,
2021-03-25 12:52:54,,,278.880005,,,,,,,
2021-03-25 12:47:54,23.833069,,,,,,,,,
2021-03-25 12:47:54,,,278.799988,,,,,,,
2021-03-25 12:47:54,,66,,,,,,,,
2021-03-25 12:42:54,,,278.959991,,,,,,,
2021-03-25 12:42:54,23.859772,,,,,,,,,
2021-03-25 12:42:54,,66,,,,,,,,
2021-03-25 12:37:54,23.889145,,,,,,,,,
2021-03-25 12:37:54,,66,,,,,,,,
2021-03-25 12:37:54,,,278.959991,,,,,,,
2021-03-25 12:32:54,,66,,,,,,,,
2021-03-25 12:32:54,23.902496,,,,,,,,,
2021-03-25 12:32:54,,,278.799988,,,,,,,
2021-03-25 12:27:54,,,278.720001,,,,,,,
2021-03-25 12:27:54,,66,,,,,,,,
2021-03-25 12:27:54,23.859772,,,,,,,,,
2021-03-25 12:22:54,,66,,,,,,,,
2021-03-25 12:22:54,23.859772,,,,,,,,,
2021-03-25 12:22:54,,,278.559998,,,,,,,
2021-03-25 12:17:54,,,278.559998,,,,,,,
2021-03-25 12:17:54,,66,,,,,,,,
2021-03-25 12:17:54,23.859772,,,,,,,,,
2021-03-25 12:12:54,,,278.799988,,,,,,,
2021-03-25 12:12:54,23.859772,,,,,,,,,
2021-03-25 12:12:54,,66,,,,,,,,
2021-03-25 12:07:54,23.889145,,,,,,,,,
2021-03-25 12:07:54,,66,,,,,,,,
2021-03-25 12:07:54,,,278.880005,,,,,,,
2021-03-25 12:02:54,,66,,,,,,,,
2021-03-25 12:02:54,23.875793,,,,,,,,,
2021-03-25 12:02:54,,,278.799988,,,,,,,
2021-03-25 11:57:54,,,278.799988,,,,,,,
2021-03-25 11:57:54,23.859772,,,,,,,,,
2021-03-25 11:57:54,,66,,,,,,,,
2021-03-25 11:52:54,,,278.559998,,,,,,,
2021-03-25 11:52:54,23.902496,,,,,,,,,
2021-03-25 11:52:54,,66,,,,,,,,
2021-03-25 11:47:54,,66,,,,,,,,
2021-03-25 11:47:54,,,278.47998,,,,,,,
2021-03-25 11:47:54,23.889145,,,,,,,,,
2021-03-25 11:42:54,,65,,,,,,,,
2021-03-25 11:42:54,23.889145,,,,,,,,,
2021-03-25 11:42:54,,,278.559998,,,,,,,
2021-03-25 11:37:54,,66,,,,,,,,
2021-03-25 11:37:54,23.915848,,,,,,,,,
2021-03-25 11:37:54,,,278.47998,,,,,,,
2021-03-25 11:32:54,,66,,,,,,,,
2021-03-25 11:32:54,23.945221,,,,,,,,,
2021-03-25 11:32:54,,,278.720001,,,,,,,
2021-03-25 11:27:54,,,278.47998,,,,,,,
2021-03-25 11:27:54,23.915848,,,,,,,,,
2021-03-25 11:27:54,,66,,,,,,,,
2021-03-25 11:22:54,,,278.559998,,,,,,,
2021-03-25 11:22:54,23.915848,,,,,,,,,
2021-03-25 11:22:54,,66,,,,,,,,
2021-03-25 11:17:54,,,278.399994,,,,,,,
2021-03-25 11:17:54,,66,,,,,,,,
2021-03-25 11:17:54,23.958572,,,,,,,,,
2021-03-25 11:12:54,,,278.559998,,,,,,,
2021-03-25 11:12:54,,66,,,,,,,,
2021-03-25 11:12:54,23.958572,,,,,,,,,
2021-03-25 11:07:54,,66,,,,,,,,
2021-03-25 11:07:54,23.971924,,,,,,,,,
2021-03-25 11:07:54,,,278.559998,,,,,,,
2021-03-25 11:02:54,,,278.47998,,,,,,,
2021-03-25 11:02:54,,66,,,,,,,,
2021-03-25 11:02:54,23.987946,,,,,,,,,
2021-03-25 10:57:54,,,278.799988,,,,,,,
2021-03-25 10:57:54,23.987946,,,,,,,,,
2021-03-25 10:57:54,,66,,,,,,,,
2021-03-25 10:52:54,,,278.720001,,,,,,,
2021-03-25 10:52:54,,66,,,,,,,,
2021-03-25 10:52:54,23.971924,,,,,,,,,
2021-03-25 10:47:54,,66,,,,,,,,
2021-03-25 10:47:54,,,278.47998,,,,,,,
2021-03-25 10:47:54,24.001297,,,,,,,,,
2021-03-25 10:42:54,,,278.47998,,,,,,,
2021-03-25 10:42:54,24.001297,,,,,,,,,
2021-03-25 10:42:54,,66,,,,,,,,
2021-03-25 10:37:54,24.001297,,,,,,,,,
2021-03-25 10:37:54,,66,,,,,,,,
2021-03-25 10:37:54,,,279.119995,,,,,,,
2021-03-25 10:32:54,,66,,,,,,,,
2021-03-25 10:32:54,24.044022,,,,,,,,,
2021-03-25 10:32:54,,,283.679993,,,,,,,
2021-03-25 10:27:54,24.044022,,,,,,,,,
2021-03-25 10:27:54,,,0.29,,,,,,,
2021-03-25 10:27:54,,65,,,,,,,,
2021-03-25 10:22:54,,66,,,,,,,,
2021-03-25 10:22:54,24.070724,,,,,,,,,
2021-03-25 10:22:54,,,278.47998,,,,,,,
2021-03-25 10:17:54,,,278.880005,,,,,,,
2021-03-25 10:17:54,24.100098,,,,,,,,,
2021-03-25 10:17:54,,66,,,,,,,,
2021-03-25 10:12:54,,66,,,,,,,,
2021-03-25 10:12:54,24.100098,,,,,,,,,
2021-03-25 10:12:54,,,278.959991,,,,,,,
2021-03-25 10:12:52,,,,5.727975,,,,,,
2021-03-25 10:07:54,24.126801,,,,,,,,,
2021-03-25 10:07:54,,66,,,,,,,,
2021-03-25 10:07:54,,,278.799988,,,,,,,
2021-03-25 10:02:54,,,278.720001,,,,,,,
2021-03-25 10:02:54,,66,,,,,,,,
2021-03-25 10:02:54,24.126801,,,,,,,,,
2021-03-25 09:57:54,,66,,,,,,,,
2021-03-25 09:57:54,,,278.399994,,,,,,,
2021-03-25 09:57:54,24.156174,,,,,,,,,
2021-03-25 09:52:54,,,278.639984,,,,,,,
2021-03-25 09:52:54,24.169525,,,,,,,,,
2021-03-25 09:52:54,,66,,,,,,,,
2021-03-25 09:47:54,,66,,,,,,,,
