Creating Time,Temperature(℃),Humidity(%),Light(lux),Voltage(V),WIFI RSSI(dBm),GSM RSSI(dBm),EXT1 Temperature(℃),EXT2 Temperature(℃),RS485 Temperature(℃),RS485 Humidity(%)
2021-03-25 14:04:48,,,,5,,,,,,
2021-03-25 14:04:47,,68,,,,,,,,
2021-03-25 14:04:47,22.505913,,,,,,,,,
2021-03-25 14:04:47,,,107.079994,,,,,,,
2021-03-25 13:59:47,,,105.559998,,,,,,,
2021-03-25 13:59:47,22.431145,,,,,,,,,
2021-03-25 13:59:47,,68,,,,,,,,
2021-03-25 13:54:47,22.417793,,,,,,,,,
2021-03-25 13:54:47,,,107.32,,,,,,,
2021-03-25 13:54:47,,69,,,,,,,,
2021-03-25 13:49:47,,69,,,,,,,,
2021-03-25 13:49:47,22.417793,,,,,,,,,
2021-03-25 13:49:47,,,111.559998,,,,,,,
2021-03-25 13:44:47,22.417793,,,,,,,,,
2021-03-25 13:44:47,,,118.199997,,,,,,,
2021-03-25 13:44:47,,69,,,,,,,,
2021-03-25 13:39:47,,69,,,,,,,,
2021-03-25 13:39:47,,,118.68,,,,,,,
2021-03-25 13:39:47,22.404442,,,,,,,,,
2021-03-25 13:34:47,22.375069,,,,,,,,,
2021-03-25 13:34:47,,,120.040001,,,,,,,
2021-03-25 13:34:47,,69,,,,,,,,
2021-03-25 13:29:47,22.361717,,,,,,,,,
2021-03-25 13:29:47,,,126,,,,,,,
2021-03-25 13:29:47,,69,,,,,,,,
2021-03-25 13:24:47,22.318993,,,,,,,,,
2021-03-25 13:24:47,,,128.119995,,,,,,,
2021-03-25 13:24:47,,69,,,,,,,,
2021-03-25 13:19:47,22.276268,,,,,,,,,
2021-03-25 13:19:47,,69,,,,,,,,
2021-03-25 13:19:47,,,130.119995,,,,,,,
2021-03-25 13:14:47,,69,,,,,,,,
2021-03-25 13:14:47,22.262917,,,,,,,,,
2021-03-25 13:14:47,,,119.399994,,,,,,,
2021-03-25 13:09:47,22.276268,,,,,,,,,
2021-03-25 13:09:47,,,38.110001,,,,,,,
2021-03-25 13:09:47,,69,,,,,,,,
2021-03-25 13:04:47,,,38.219997,,,,,,,
2021-03-25 13:04:47,,69,,,,,,,,
2021-03-25 13:04:47,22.262917,,,,,,,,,
2021-03-25 12:59:47,22.249557,,,,,,,,,
2021-03-25 12:59:47,,,38.68,,,,,,,
2021-03-25 12:59:47,,69,,,,,,,,
2021-03-25 12:54:47,22.249557,,,,,,,,,
2021-03-25 12:54:47,,,39.459999,,,,,,,
2021-03-25 12:54:47,,70,,,,,,,,
2021-03-25 12:49:47,,,39.16,,,,,,,
2021-03-25 12:49:47,22.220184,,,,,,,,,
2021-03-25 12:49:47,,70,,,,,,,,
2021-03-25 12:44:47,,,39.029999,,,,,,,
2021-03-25 12:44:47,22.206833,,,,,,,,,
2021-03-25 12:44:47,,70,,,,,,,,
2021-03-25 12:39:47,22.17746,,,,,,,,,
2021-03-25 12:39:47,,,37.52,,,,,,,
2021-03-25 12:39:47,,69,,,,,,,,
2021-03-25 12:34:47,22.164108,,,,,,,,,
2021-03-25 12:34:47,,,35.639999,,,,,,,
2021-03-25 12:34:47,,69,,,,,,,,
2021-03-25 12:29:47,22.206833,,,,,,,,,
2021-03-25 12:29:47,,,34.469997,,,,,,,
2021-03-25 12:29:47,,70,,,,,,,,
2021-03-25 12:24:47,,,35.380001,,,,,,,
2021-03-25 12:24:47,22.164108,,,,,,,,,
2021-03-25 12:24:47,,69,,,,,,,,
2021-03-25 12:19:47,,69,,,,,,,,
2021-03-25 12:19:47,,,28.949999,,,,,,,
2021-03-25 12:19:47,22.121384,,,,,,,,,
2021-03-25 12:14:47,,,32.239998,,,,,,,
2021-03-25 12:14:47,,70,,,,,,,,
2021-03-25 12:14:47,22.121384,,,,,,,,,
2021-03-25 12:09:47,,,35.459999,,,,,,,
2021-03-25 12:09:47,,70,,,,,,,,
2021-03-25 12:09:47,22.164108,,,,,,,,,
2021-03-25 12:04:47,22.17746,,,,,,,,,
2021-03-25 12:04:47,,,40.709999,,,,,,,
2021-03-25 12:04:47,,69,,,,,,,,
2021-03-25 11:59:47,22.150757,,,,,,,,,
2021-03-25 11:59:47,,,43.579998,,,,,,,
2021-03-25 11:59:47,,70,,,,,,,,
2021-03-25 11:54:47,,69,,,,,,,,
2021-03-25 11:54:47,22.164108,,,,,,,,,
2021-03-25 11:54:47,,,46.34,,,,,,,
2021-03-25 11:49:47,,70,,,,,,,,
2021-03-25 11:49:47,,,46.52,,,,,,,
2021-03-25 11:49:47,22.193481,,,,,,,,,
2021-03-25 11:44:47,,70,,,,,,,,
2021-03-25 11:44:47,,,45.399998,,,,,,,
2021-03-25 11:44:47,22.164108,,,,,,,,,
2021-03-25 11:39:47,,70,,,,,,,,
2021-03-25 11:39:47,,,40.77,,,,,,,
2021-03-25 11:39:47,22.193481,,,,,,,,,
2021-03-25 11:34:47,22.17746,,,,,,,,,
2021-03-25 11:34:47,,70,,,,,,,,
2021-03-25 11:34:47,,,34.48,,,,,,,
2021-03-25 11:29:47,22.17746,,,,,,,,,
2021-03-25 11:29:47,,,27.869999,,,,,,,
2021-03-25 11:29:47,,71,,,,,,,,
2021-03-25 11:29:07,,,,5.112046,,,,,,
2021-03-25 11:24:47,22.164108,,,,,,,,,
2021-03-25 11:24:47,,71,,,,,,,,
2021-03-25 11:24:47,,,25.959999,,,,,,,
2021-03-25 11:19:47,,,28.949999,,,,,,,
2021-03-25 11:19:47,22.164108,,,,,,,,,
2021-03-25 11:19:47,,71,,,,,,,,
2021-03-25 11:14:47,22.121384,,,,,,,,,
2021-03-25 11:14:47,,,29.83,,,,,,,
2021-03-25 11:14:47,,71,,,,,,,,
2021-03-25 11:09:47,,,29.209999,,,,,,,
2021-03-25 11:09:47,,71,,,,,,,,
2021-03-25 11:09:47,22.094681,,,,,,,,,
2021-03-25 11:04:47,,71,,,,,,,,
2021-03-25 11:04:47,,,31.849998,,,,,,,
2021-03-25 11:04:47,22.078659,,,,,,,,,
2021-03-25 10:59:47,,71,,,,,,,,
2021-03-25 10:59:47,,,36.369999,,,,,,,
2021-03-25 10:59:47,22.078659,,,,,,,,,
2021-03-25 10:54:47,,,33.759998,,,,,,,
2021-03-25 10:54:47,,71,,,,,,,,
2021-03-25 10:54:47,22.009232,,,,,,,,,
2021-03-25 10:49:47,21.966507,,,,,,,,,
2021-03-25 10:49:47,,,40.299999,,,,,,,
2021-03-25 10:49:47,,71,,,,,,,,
2021-03-25 10:44:47,21.953156,,,,,,,,,
2021-03-25 10:44:47,,,36.360001,,,,,,,
2021-03-25 10:44:47,,71,,,,,,,,
2021-03-25 10:39:47,21.939804,,,,,,,,,
2021-03-25 10:39:47,,71,,,,,,,,
2021-03-25 10:39:47,,,24.32,,,,,,,
2021-03-25 10:34:47,21.939804,,,,,,,,,
2021-03-25 10:34:47,,71,,,,,,,,
2021-03-25 10:34:47,,,22.789999,,,,,,,
2021-03-25 10:29:47,,71,,,,,,,,
2021-03-25 10:29:47,,,26.08,,,,,,,
2021-03-25 10:29:47,21.897079,,,,,,,,,
2021-03-25 10:24:47,21.865036,,,,,,,,,
2021-03-25 10:24:47,,71,,,,,,,,
2021-03-25 10:24:47,,,33.23,,,,,,,
2021-03-25 10:19:47,21.851685,,,,,,,,,
2021-03-25 10:19:47,,,32.399998,,,,,,,
2021-03-25 10:19:47,,71,,,,,,,,
2021-03-25 10:14:47,21.824982,,,,,,,,,
2021-03-25 10:14:47,,71,,,,,,,,
2021-03-25 10:14:47,,,40.809998,,,,,,,
2021-03-25 10:09:47,,70,,,,,,,,
2021-03-25 10:09:47,21.80896,,,,,,,,,
2021-03-25 10:09:47,,,51.099998,,,,,,,
2021-03-25 10:04:47,21.795609,,,,,,,,,
2021-03-25 10:04:47,,,42.579998,,,,,,,
2021-03-25 10:04:47,,70,,,,,,,,
2021-03-25 09:59:47,,70,,,,,,,,
2021-03-25 09:59:47,,,40.669998,,,,,,,
2021-03-25 09:59:47,21.726173,,,,,,,,,
2021-03-25 09:54:47,,70,,,,,,,,
2021-03-25 09:54:47,,,38.23,,,,,,,
2021-03-25 09:54:47,21.726173,,,,,,,,,
2021-03-25 09:49:47,,,40.439999,,,,,,,
2021-03-25 09:49:47,21.766235,,,,,,,,,
2021-03-25 09:49:47,,70,,,,,,,,
2021-03-25 09:44:47,,70,,,,,,,,
2021-03-25 09:44:47,,,45.5,,,,,,,
2021-03-25 09:44:47,21.726173,,,,,,,,,
2021-03-25 09:39:47,21.752884,,,,,,,,,
2021-03-25 09:39:47,,,39.879997,,,,,,,
2021-03-25 09:39:47,,69,,,,,,,,
2021-03-25 09:34:47,,69,,,,,,,,
2021-03-25 09:34:47,,,42.099998,,,,,,,
2021-03-25 09:34:47,21.782257,,,,,,,,,
2021-03-25 09:29:47,,,45.200001,,,,,,,
2021-03-25 09:29:47,,69,,,,,,,,
2021-03-25 09:29:47,21.739525,,,,,,,,,
2021-03-25 09:24:47,,69,,,,,,,,
2021-03-25 09:24:47,,,44.599998,,,,,,,
2021-03-25 09:24:47,21.80896,,,,,,,,,
2021-03-25 09:19:47,21.851685,,,,,,,,,
2021-03-25 09:19:47,,,27.639999,,,,,,,
2021-03-25 09:19:47,,69,,,,,,,,
2021-03-25 09:14:47,21.897079,,,,,,,,,
2021-03-25 09:14:47,,,22.289999,,,,,,,
2021-03-25 09:14:47,,69,,,,,,,,
2021-03-25 09:09:47,21.966507,,,,,,,,,
2021-03-25 09:09:47,,69,,,,,,,,
2021-03-25 09:09:47,,,19.059999,,,,,,,
2021-03-25 09:04:47,21.99588,,,,,,,,,
2021-03-25 09:04:47,,69,,,,,,,,
2021-03-25 09:04:47,,,17.76,,,,,,,
2021-03-25 08:59:47,22.065308,,,,,,,,,
2021-03-25 08:59:47,,69,,,,,,,,
2021-03-25 08:59:47,,,17.139999,,,,,,,
2021-03-25 08:54:47,22.121384,,,,,,,,,
2021-03-25 08:54:47,,69,,,,,,,,
2021-03-25 08:54:47,,,117.799995,,,,,,,
2021-03-25 08:49:47,22.121384,,,,,,,,,
2021-03-25 08:49:47,,,114.799995,,,,,,,
2021-03-25 08:49:47,,69,,,,,,,,
2021-03-25 08:44:47,22.220184,,,,,,,,,
2021-03-25 08:44:47,,69,,,,,,,,
2021-03-25 08:44:47,,,99.599998,,,,,,,
2021-03-25 08:39:47,,,10.33,,,,,,,
2021-03-25 08:39:47,22.305641,,,,,,,,,
2021-03-25 08:39:47,,69,,,,,,,,
2021-03-25 08:34:47,,68,,,,,,,,
2021-03-25 08:34:47,22.375069,,,,,,,,,
2021-03-25 08:34:47,,,8.48,,,,,,,
2021-03-25 08:29:47,,69,,,,,,,,
2021-03-25 08:29:47,22.505913,,,,,,,,,
2021-03-25 08:29:47,,,7.67,,,,,,,
2021-03-25 08:29:08,,,,5.117397,,,,,,
2021-03-25 08:24:47,,,6.21,,,,,,,
2021-03-25 08:24:47,,69,,,,,,,,
2021-03-25 08:24:47,22.602043,,,,,,,,,
2021-03-25 08:19:47,22.716866,,,,,,,,,
2021-03-25 08:19:47,,69,,,,,,,,
2021-03-25 08:19:47,,,6.24,,,,,,,
2021-03-25 08:14:47,,,6.64,,,,,,,
2021-03-25 08:14:47,,69,,,,,,,,
2021-03-25 08:14:47,22.885101,,,,,,,,,
2021-03-25 08:09:47,,69,,,,,,,,
2021-03-25 08:09:47,,,6.28,,,,,,,
