Creating Time,Temperature(℃),Humidity(%),Light(lux),Voltage(V),WIFI RSSI(dBm),GSM RSSI(dBm),EXT1 Temperature(℃),EXT2 Temperature(℃),RS485 Temperature(℃),RS485 Humidity(%)
2021-03-25 14:21:28,,,,5,,,,,,
2021-03-25 14:19:02,,65,,,,,,,,
2021-03-25 14:19:02,23.301674,,,,,,,,,
2021-03-25 14:19:02,,,121.599998,,,,,,,
2021-03-25 14:14:02,,,141,,,,,,,
2021-03-25 14:14:02,,61,,,,,,,,
2021-03-25 14:14:02,23.341728,,,,,,,,,
2021-03-25 14:09:02,23.301674,,,,,,,,,
2021-03-25 14:09:02,,,135,,,,,,,
2021-03-25 14:09:02,,59,,,,,,,,
2021-03-25 14:04:02,,59,,,,,,,,
2021-03-25 14:04:02,23.341728,,,,,,,,,
2021-03-25 14:04:02,,,137.759995,,,,,,,
2021-03-25 14:02:50,,,,5.117932,,,,,,
2021-03-25 13:59:02,23.384453,,,,,,,,,
2021-03-25 13:59:02,,59,,,,,,,,
2021-03-25 13:59:02,,,132.440002,,,,,,,
2021-03-25 13:54:02,,59,,,,,,,,
2021-03-25 13:54:02,23.384453,,,,,,,,,
2021-03-25 13:54:02,,,136.87999,,,,,,,
2021-03-25 13:49:02,,,198.559998,,,,,,,
2021-03-25 13:49:02,23.384453,,,,,,,,,
2021-03-25 13:49:02,,59,,,,,,,,
2021-03-25 13:44:02,23.397804,,,,,,,,,
2021-03-25 13:44:02,,,241.519989,,,,,,,
2021-03-25 13:44:02,,59,,,,,,,,
2021-03-25 13:39:02,23.397804,,,,,,,,,
2021-03-25 13:39:02,,60,,,,,,,,
2021-03-25 13:39:02,,,263.199982,,,,,,,
2021-03-25 13:34:02,,60,,,,,,,,
2021-03-25 13:34:02,23.469902,,,,,,,,,
2021-03-25 13:34:02,,,271.919983,,,,,,,
2021-03-25 13:29:02,23.469902,,,,,,,,,
2021-03-25 13:29:02,,,289.119995,,,,,,,
2021-03-25 13:29:02,,60,,,,,,,,
2021-03-25 13:24:02,,,299.600006,,,,,,,
2021-03-25 13:24:02,,61,,,,,,,,
2021-03-25 13:24:02,23.525978,,,,,,,,,
2021-03-25 13:19:02,23.555351,,,,,,,,,
2021-03-25 13:19:02,,,300.720001,,,,,,,
2021-03-25 13:19:02,,63,,,,,,,,
2021-03-25 13:14:02,23.582054,,,,,,,,,
2021-03-25 13:14:02,,,289.759979,,,,,,,
2021-03-25 13:14:02,,64,,,,,,,,
2021-03-25 13:09:02,,,283.519989,,,,,,,
2021-03-25 13:09:02,23.595406,,,,,,,,,
2021-03-25 13:09:02,,66,,,,,,,,
2021-03-25 13:04:02,,,279.600006,,,,,,,
2021-03-25 13:04:02,23.525978,,,,,,,,,
2021-03-25 13:04:02,,64,,,,,,,,
2021-03-25 12:59:02,23.469902,,,,,,,,,
2021-03-25 12:59:02,,,228.159988,,,,,,,
2021-03-25 12:59:02,,61,,,,,,,,
2021-03-25 12:54:02,23.469902,,,,,,,,,
2021-03-25 12:54:02,,,268.23999,,,,,,,
2021-03-25 12:54:02,,60,,,,,,,,
