Creating Time,Temperature(℃),Humidity(%),Light(lux),Voltage(V),WIFI RSSI(dBm),GSM RSSI(dBm),EXT1 Temperature(℃),EXT2 Temperature(℃),RS485 Temperature(℃),RS485 Humidity(%)
2021-03-25 14:35:37,,,,5,,,,,,
2021-03-25 14:35:37,,,,5.127564,,,,,,
2021-03-25 14:35:36,,,,5.122748,,,,,,
2021-03-25 14:35:35,,,,5.115257,,,,,,
2021-03-25 14:35:29,,,,5,,,,,,
2021-03-25 14:35:28,,,163.679993,,,,,,,
2021-03-25 14:35:28,,66,,,,,,,,
2021-03-25 14:35:28,23.742271,,,,,,,,,
2021-03-25 14:30:28,23.614098,,,,,,,,,
2021-03-25 14:30:28,,,484.959991,,,,,,,
2021-03-25 14:30:28,,65,,,,,,,,
2021-03-25 14:25:28,,65,,,,,,,,
2021-03-25 14:25:28,,,479.679993,,,,,,,
2021-03-25 14:25:28,23.584724,,,,,,,,,
2021-03-25 14:20:28,23.571373,,,,,,,,,
2021-03-25 14:20:28,,,475.199982,,,,,,,
2021-03-25 14:20:28,,65,,,,,,,,
2021-03-25 14:15:28,,,477.759979,,,,,,,
2021-03-25 14:15:28,23.571373,,,,,,,,,
2021-03-25 14:15:28,,65,,,,,,,,
2021-03-25 14:10:28,23.571373,,,,,,,,,
2021-03-25 14:10:28,,,504.160004,,,,,,,
2021-03-25 14:10:28,,64,,,,,,,,
2021-03-25 14:05:28,23.515297,,,,,,,,,
2021-03-25 14:05:28,,65,,,,,,,,
2021-03-25 14:05:28,,,504.47998,,,,,,,
2021-03-25 14:00:28,,64,,,,,,,,
2021-03-25 14:00:28,23.403145,,,,,,,,,
2021-03-25 14:00:28,,,494.079987,,,,,,,
2021-03-25 13:55:28,23.443199,,,,,,,,,
2021-03-25 13:55:28,,,493.919983,,,,,,,
2021-03-25 13:55:28,,64,,,,,,,,
2021-03-25 13:50:28,,,511.039978,,,,,,,
2021-03-25 13:50:28,,65,,,,,,,,
2021-03-25 13:50:28,23.501945,,,,,,,,,
2021-03-25 13:45:28,23.542,,,,,,,,,
2021-03-25 13:45:28,,,503.039978,,,,,,,
2021-03-25 13:45:28,,65,,,,,,,,
