Creating Time,Temperature(℃),Humidity(%),Light(lux),Voltage(V),WIFI RSSI(dBm),GSM RSSI(dBm),EXT1 Temperature(℃),EXT2 Temperature(℃),RS485 Temperature(℃),RS485 Humidity(%)
2021-03-25 13:57:22,,,,5,,,,,,
2021-03-25 13:54:40,,62,,,,,,,,
2021-03-25 13:54:40,24.90387,,,,,,,,,
2021-03-25 13:54:40,,,7.69,,,,,,,
2021-03-25 13:53:17,,,,5.186964,,,,,,
2021-03-25 13:49:40,,63,,,,,,,,
2021-03-25 13:49:40,,,16.190001,,,,,,,
2021-03-25 13:49:40,24.861145,,,,,,,,,
2021-03-25 13:44:40,24.877167,,,,,,,,,
2021-03-25 13:44:40,,,24.359999,,,,,,,
2021-03-25 13:44:40,,63,,,,,,,,
2021-03-25 13:39:40,,64,,,,,,,,
2021-03-25 13:39:40,24.90387,,,,,,,,,
2021-03-25 13:39:40,,,25.9,,,,,,,
2021-03-25 13:34:40,,63,,,,,,,,
2021-03-25 13:34:40,,,25.699999,,,,,,,
2021-03-25 13:34:40,24.861145,,,,,,,,,
2021-03-25 13:29:40,24.847794,,,,,,,,,
2021-03-25 13:29:40,,,30.58,,,,,,,
2021-03-25 13:29:40,,63,,,,,,,,
2021-03-25 13:24:40,,,32.009998,,,,,,,
2021-03-25 13:24:40,24.861145,,,,,,,,,
2021-03-25 13:24:40,,64,,,,,,,,
2021-03-25 13:19:40,24.890518,,,,,,,,,
2021-03-25 13:19:40,,,32.73,,,,,,,
2021-03-25 13:19:40,,64,,,,,,,,
2021-03-25 13:14:40,24.861145,,,,,,,,,
2021-03-25 13:14:40,,65,,,,,,,,
2021-03-25 13:14:40,,,33.439999,,,,,,,
2021-03-25 13:09:40,,64,,,,,,,,
2021-03-25 13:09:40,24.847794,,,,,,,,,
2021-03-25 13:09:40,,,32.779999,,,,,,,
2021-03-25 13:04:40,24.805069,,,,,,,,,
2021-03-25 13:04:40,,,33.099998,,,,,,,
2021-03-25 13:04:40,,64,,,,,,,,
