"time","fitbit.air-vel","fitbit.bodyPresence","fitbit.change","fitbit.clothing","fitbit.comfort","fitbit.heartRate","fitbit.indoorOutdoor","fitbit.lat","fitbit.lon","fitbit.met","fitbit.responseSpeed","fitbit.restingHR","fitbit.thermal","fitbit.voteLog"
"2021-03-17T15:30:20.757+08:00","10","true","10","10","10","87","11",,,"9","16.957","76","11","1449"
"2021-03-17T15:33:09.476+08:00","10","true","10","10","10","67","11",,,"9","11.725","76","11","1450"
"2021-03-17T15:53:08.517+08:00","10","true","10","10","9","87","9",,,"10","10.483","76","11","1451"
"2021-03-17T16:08:58.354+08:00","11","true","10","10","10","70","11","1.2976416666666666","103.77122666666666","9","10.323","76","10","1452"
"2021-03-17T16:23:57.008+08:00","11","true","10","10","10","66","11","1.29763","103.77121833333334","9","5.869","76","10","1453"
"2021-03-17T16:39:39.816+08:00","11","true","10","10","10","61","11","1.2976366666666665","103.77122666666666","10","7.836","76","11","1454"
"2021-03-17T16:55:54.156+08:00","11","true","10","10","10","65","11","1.2976283333333334","103.77122166666666","9","7.328","76","10","1455"
"2021-03-17T17:11:41.487+08:00","11","true","10","10","10","69","11","1.297625","103.771215","9","7.023","71","10","1456"
"2021-03-17T17:26:41.450+08:00","11","true","10","10","10","64","11","1.2976233333333334","103.771215","9","7.992","71","10","1457"
"2021-03-17T17:45:53.572+08:00","11","true","10","10","10","67","11","1.297625","103.77122166666666","9","96.51","72","10","1458"
"2021-03-17T18:01:11.700+08:00","11","true","11","10","10","73","9","1.297625","103.77136166666666","10","11.765","71","10","1459"
"2021-03-22T09:32:13.928+08:00","10","true","10","10","9","94","9","1.2976883333333333","103.77090166666666","10","8.403","70","11","1460"
"2021-03-22T09:57:41.542+08:00","11","true","10","10","10","80","11","1.2971733333333333","103.77041833333334","9","7.072","70","11",
"2021-03-22T10:00:56.752+08:00","11","true","10","10","10","73","11",,,"9","5.97","70","10","1464"
"2021-03-22T10:15:23.828+08:00","11","true","10","10","10","77","11",,,"9","8.351","70","10","1465"
"2021-03-22T10:35:39.410+08:00","10","true","10","10","10","68","11","1.297015","103.77045166666667","9","7.216","69","10","1466"
"2021-03-22T10:52:46.424+08:00","11","true","10","10","10","64","11","1.297155","103.77040333333333","9","5.694","69","10","1467"
"2021-03-22T11:08:16.509+08:00","11","true","10","10","10","66","11","1.2971716666666666","103.77040666666667","9","6.262","69","10","1468"
"2021-03-22T11:28:50.032+08:00","11","true","10","10","10","78","11","1.2971316666666666","103.77040166666667","9","5.2","68","10","1469"
"2021-03-22T11:45:21.279+08:00","11","true","10","10","10","60","11","1.297155","103.77041166666666","9","4.787","68","10","1470"
"2021-03-22T12:02:33.134+08:00","11","true","10","10","10","77","11","1.2971433333333333","103.77037166666666","9","6.229","68","10","1471"
"2021-03-22T12:16:41.620+08:00","10","true","10","10","10","58","11","1.2971216666666667","103.77040833333334","9","7.77","68","10","1472"
"2021-03-22T12:34:51.896+08:00","11","true","10","10","10","59","11","1.2971583333333334","103.77039333333333","9","4.848","68","10","1473"
"2021-03-22T12:53:43.552+08:00","11","true","10","10","10","64","11","1.2971166666666667","103.77041166666666","9","4.841","68","10","1474"
"2021-03-22T13:09:13.109+08:00","11","true","11","10","10","65","9","1.2976383333333334","103.77116","10","9.449","68","10","1475"
"2021-03-23T09:36:52.456+08:00","10","true","10","9","10","94","9","1.2975349999999999","103.77104166666666","9","10.448","68","10","1476"
"2021-03-23T09:37:14.823+08:00","10","true","10","9","10","83","9","1.2975349999999999","103.77104166666666","9","6.55","68","10",
"2021-03-23T11:56:38.160+08:00","10","true","11","9","10","96","11","1.2973233333333334","103.77074833333333","10","7.019","66","10",
"2021-03-23T12:12:01.862+08:00","11","true","11","9","10","59","9","1.2965683333333333","103.77012666666667","9","6.501","66","10","1481"
"2021-03-23T12:35:34.770+08:00","11","true","11","9","10","107","11","1.2966933333333333","103.77010666666666","10","6.543","66","10",
"2021-03-31T15:51:47.632+08:00","10","true","11","10","10","111","9",,,"10","22.996","64","10","1484"
"2021-03-31T15:56:16.802+08:00","10","true","10","10","10","96","11","1.297545","103.771155","9","6.939","64","10","1485"
"2021-03-31T16:11:41.764+08:00","10","true","10","10","10","84","11","1.2975516666666667","103.771165","9","22.241","66","10","1486"
"2021-03-31T16:27:28.693+08:00","10","true","10","10","10","78","11","1.2975433333333333","103.77115833333333","9","4.449","66","10","1487"
