"time","fitbit.air-vel","fitbit.bodyPresence","fitbit.change","fitbit.clothing","fitbit.comfort","fitbit.heartRate","fitbit.indoorOutdoor","fitbit.lat","fitbit.lon","fitbit.met","fitbit.responseSpeed","fitbit.restingHR","fitbit.thermal","fitbit.voteLog"
"2021-03-18T14:12:59.680+08:00","10","false","10","10","10","60","11","1.29683","103.77051333333333","9","7.65","53","11","1406"
"2021-03-18T14:13:17.496+08:00","10","true","10","10","10","60","11","1.29683","103.77051333333333","9","8.508","53","9","1407"
"2021-03-18T14:14:28.174+08:00","10","true","11","9","10","69","9","1.29683","103.77051333333333","10","3.357","53","10","1408"
"2021-03-18T14:14:36.280+08:00","11","true","11","10","10","69","11","1.29683","103.77051333333333","10","4.212","53","11",
"2021-03-18T14:31:41.450+08:00","11","true","10","10","10","82","9",,,"9","12.544","53","11","1410"
"2021-03-18T14:35:48.046+08:00","11","true","10","9","10","77","9",,,"9","8.08","53","11","1411"
"2021-03-18T14:44:17.384+08:00","10","true","11","10","10","99","9","1.297315","103.77097499999999","10","14.897","53","11","1412"
"2021-03-25T14:12:31.829+08:00","10","true","10","10","10","91","11",,,"9","7.789","53","11","1413"
"2021-03-25T15:53:17.660+08:00","10","true","10","10","10","78","11",,,"9","7.47","53","11","1414"
"2021-03-25T16:09:48.345+08:00","10","true","10","10","9","125","9","1.2976766666666668","103.77081333333334","10","7.738","53","11","1415"
"2021-03-29T14:04:04.846+08:00","10","true","11","10","9","86","11",,,"10","10.688","57","11","1416"
"2021-03-29T14:23:52.224+08:00","10","true","10","10","10","93","11",,,"9","6.798","57","11","1417"
"2021-03-29T14:43:27.428+08:00","10","true","10","10","10","96","11",,,"9","4.608","57","11","1418"
"2021-03-29T15:02:31.224+08:00","10","true","10","10","10","87","11",,,"9","7.718","57","11","1419"
"2021-03-29T15:19:24.536+08:00","10","true","10","10","10","86","11",,,"9","4.907","57","11","1420"
"2021-03-29T15:37:26.543+08:00","10","true","11","10","10","119","11","1.2971083333333333","103.77098666666667","10","7.496","57","11","1421"
"2021-03-29T15:57:41.236+08:00","10","true","10","10","10","84","11",,,"9","6.815","57","11","1422"
"2021-03-29T16:15:34.183+08:00","11","true","10","10","10","82","11","1.2973433333333333","103.77103333333334","9","10.187","57","11","1423"
"2021-04-06T09:43:05.472+08:00","11","true","10","10","9","96","11",,,"9","14.533","57","11","1424"
"2021-04-06T09:59:41.448+08:00","11","true","10","10","10","82","11",,,"9","10.008","57","11","1425"
"2021-04-06T10:15:30.434+08:00","11","true","10","10","10","83","11",,,"9","15.648","57","11","1426"
"2021-04-06T10:37:32.956+08:00","11","true","10","10","10","90","11",,,"9","9.912","57","11","1427"
"2021-04-06T10:56:39.256+08:00","11","true","10","10","10","80","11",,,"9","13.562","57","11","1428"
"2021-04-06T11:21:21.583+08:00","11","true","10","10","10","78","11",,,"9","11.897","57","9","1429"
"2021-04-06T11:38:46.842+08:00","10","true","10","10","9","95","9",,,"10","10.432","57","11","1430"
