,space_id,space_name,floor,room_name,coordinates,awair-device_uuid,BMS-endpoint,ubibot,webid,senSING_sensor_id,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,building,Unnamed: 11,Unnamed: 12,deploy_sensor?
0,101,STAFF_LOUNGE,2.0,SDE1,"[[103.7703660134668,1.2972224509501018],[103.77034136961817,1.297152865040644],[103.77031156757425,1.2971683744573568],[103.77029360469982,1.2971904141550112],[103.77028503150967,1.297217351562253],[103.77028584800405,1.2972406156871443],[103.7702882974873,1.2972520436777586],[103.7703660134668,1.2972224509501018]]",,,,,,,,,,,,,,,,,,,,,,,,,,,
1,102,EXHIBITION_HALL_LEVEL1,1.0,SDE1,"[[103.7702607402286,1.297297163005382],[103.7703554450797,1.2975673927034705],[103.77046307848559,1.297526632927898],[103.77036849155405,1.297260063983515],[103.77036849155405,1.297260063983515],[103.7702607402286,1.297297163005382]]",awair-omni_16477,,,,,,,,,,,,,,,,,,,,,,,,,,
2,103,EXHIBITION_HALL_LEVEL2,2.0,SDE1,"[[103.77030702114178,1.2972821886595796],[103.77039970602868,1.2975515058869433],[103.77046371861081,1.2975255074427139],[103.77037036692701,1.2972575234664987],[103.77030702114178,1.2972821886595796]]",,,,,,,,,,,,,,,,,,,,,,,,,,,
3,104,GALLERY,2.0,SDE1,"[[103.77046004395163,1.297124457910897],[103.77068397457884,1.2970441050643586],[103.77067003698926,1.2969990517328256],[103.77044378342907,1.2970794045807992],[103.77046004395163,1.297124457910897]]",,,,,,,,,,,,,,,,,,,,,,,,,,,
4,105,CORRIDOR_2-1,2.0,SDE1,"[[103.77032387667981,1.297040433016008],[103.77027841178744,1.2970555840974782],[103.77032189994605,1.297093132427321],[103.77036802374909,1.2972248809520437],[103.77032783014937,1.2972387145459834],[103.77033837273274,1.2972696754481063],[103.77040031041184,1.2972492544282233],[103.77041282972903,1.2972393732886758],[103.77039833367803,1.29719326130666],[103.77038713218218,1.2971952375348508],[103.77038251980196,1.2971807451969823],[103.77037329504174,1.2971807451969823],[103.77036736483848,1.2971609829182],[103.77041217081836,1.2971451730956431],[103.77041546537532,1.2971550542346364],[103.77043918618847,1.2971471493238482],[103.77043523272084,1.297133315728459],[103.77045829462139,1.29712475207387],[103.77044511639173,1.297078640089822],[103.77042073666797,1.2970872037435441],[103.77042996142814,1.2971096009938208],[103.77041151190582,1.2971168471630108],[103.77041612428786,1.2971293632730294],[103.77036143463516,1.2971464905811274],[103.77032387667981,1.297040433016008]]",,,,,,,,,,,,,,,,,,,,,,,,,,,
5,106,TERRACE_CORRIDOR_2_2,2.0,SDE1,"[[103.770403589551,1.2972633852715916],[103.77037564283222,1.2972735869280712],[103.77052938980091,1.2977318232457549],[103.77059550219877,1.2977078053761915],[103.77054594616993,1.2975707442932531],[103.77056759704436,1.2975640439469345],[103.77055238909736,1.2975379151324518],[103.77052823740001,1.2975192980473906],[103.77050668929365,1.2975129209061578],[103.77042779864769,1.2972734567579636],[103.77040939540416,1.2972791520526386],[103.770403589551,1.2972633852715916]]",,,,,,,,,,,,,,,,,,,,,,,,,,,
6,107,CORRIDOR_2_3,2.0,SDE1,"[[103.77058415246853,1.2976762342610044],[103.77059579441124,1.297708284949394],[103.7706016758491,1.2977057387613513],[103.77062850469855,1.2977816988924502],[103.77066031869794,1.29777127822031],[103.77063374846625,1.2976947735841549],[103.77090624799047,1.2976005381474636],[103.77088224754141,1.2975325949606002],[103.7707996004998,1.297562908069267],[103.77080446967733,1.2975781697247442],[103.77078677922486,1.297584184145819],[103.77078029842846,1.297564397700171],[103.77076386518348,1.2975699645641185],[103.7707777982215,1.2976074921241718],[103.77058415246853,1.2976762342610044]]",,,,,,,,,,,,,,,,,,,,,,,,,,,
7,108,COOP,2.0,SDE1,"[[103.77077760685921,1.2976068886763414],[103.77076283967654,1.297569337787877],[103.77067271587708,1.297600725136519],[103.77068615834543,1.297639443676232],[103.77077760685921,1.2976068886763414]]",,,,,N.A,,,,,,,,,,,,,,,,,,,,,,
8,109,BALCONY,3.0,SDE1,"[[103.77036639103932,1.2972220757592652],[103.77028987099175,1.297250629490435],[103.77028614389945,1.297230945892693],[103.77028737096441,1.2972094986510996],[103.77029373551466,1.29719049024267],[103.77030746514885,1.2971727993705855],[103.77032277122925,1.297160456474714],[103.77034140227954,1.2971528390929734],[103.77036639103932,1.2972220757592652]]",,,,,,,,,,,,,,,,,,,,,,,,,,,
9,110,SCHOOL_CONFERENCE_ROOM,3.0,SDE1,"[[103.77039455086918,1.2973269517656263],[103.77037085145344,1.2972585692559875],[103.77026031903489,1.2972985745672645],[103.77028410233129,1.2973662706388183],[103.77039455086918,1.2973269517656263]]",awair-omni_16197,,,,,,,,,,,,,,,,,,,,,,,,,,
10,111,COMMON_OFFICE,3.0,SDE1,"[[103.77045996366166,1.2972040109291356],[103.77042752866316,1.2971098868539315],[103.77036233629048,1.2971324412308718],[103.7704032847937,1.2972492441320185],[103.77044851633372,1.2972318347668619],[103.7704412717627,1.2972108829873008],[103.77045996366166,1.2972040109291356]]",,,,,,,,,,,,,,,,,,,,,,,,,,,
11,112,MEETING_ROOM,3.0,SDE1,"[[103.77043430536719,1.2974373460304633],[103.7704089437471,1.2973674113844282],[103.77035299265009,1.2973882345884675],[103.77037740784414,1.2974580536436946],[103.77043430536719,1.2974373460304633]]",,,,,,,,,,,,,,,,,,,,,,,,,,,
