time,space_id,faculty_name,fitbit.air-vel,fitbit.bodyPresence,fitbit.change,fitbit.clothing,fitbit.comfort,fitbit.heartRate,fitbit.indoorOutdoor,fitbit.lat,fitbit.lon,fitbit.met,fitbit.responseSpeed,fitbit.restingHR,fitbit.thermal,fitbit.voteLog,Ambient Temp(℃),Skin Temp(℃),Steerpath.Accuracy,Steerpath.Floor,Steerpath.Latitude,Steerpath.Longitude,Steerpath.Space,fitbit_api.HR,fitbit_api.Steps,Temperature(℃),Humidity(%),Light(lux),Voltage(V),WIFI RSSI(dBm),GSM RSSI(dBm),EXT1 Temperature(℃),EXT2 Temperature(℃),RS485 Temperature(℃),RS485 Humidity(%),VAV2-3|Temp at space_id: 201,VAV2-4|Temp at space_id: 201,VAV2-5|Temp at space_id: 201,VAV2-6|Temp at space_id: 201,VAV2-18|Temp at space_id: 202,VAV2-20|Temp at space_id: 203,VAV2-7N8|Temp at space_id: 204,VAV2-9N27|Temp at space_id: 204,VAV2-22|Temp at space_id: 206,VAV2-17|Temp at space_id: 207,VAV2-16|Temp at space_id: 207,VAV2-12|Temp at space_id: 208,score,temp(°C),humid,co2,voc,pm25,light,noise,device_uuid,senSING.humidity,senSING.light,senSING.noise,senSING.temperature,purpleair.0.3_um_count,purpleair.0.5_um_count,purpleair.1.0_um_count,purpleair.10.0_um_count,purpleair.2.5_um_count,purpleair.5.0_um_count,purpleair.humidity,purpleair.pm1.0,purpleair.pm10.0,purpleair.pm2.5,purpleair.pressure,purpleair.temperature,user_id,Year of birth (for example 1995),Sex,Height (cm),Weight (kg),Shoulder width (cm),How long have you been in Singapore (in years)?,Can you say that you are used to the weather in Singapore?,Can you say that you are satisfied with the weather in this city (outdoor weather conditions)?,Do you suffer from sweating in Singapore?,Do you enjoy being outdoor in Singapore?,What is your estimation of your time (hours) spent outdoor (per day) during the weekdays? (for example 2 hrs),What is your estimation of your time (hours) spent outdoor (per day) during the weekend? (for example 4 hrs),Do you seem to be aware of subtleties in your environment? ,"Are you easily overwhelmed by things like bright lights, strong smells, coarse fabrics, or sirens close by?","Do you have a rich, complex inner life?",Do you get rattled when you have a lot to do in a short amount of time?,Are you deeply moved by the arts or music?,Are you annoyed when people try to get you to do too many things at once?,Do you make a point to avoid violent movies and TV shows?,Do you find it unpleasant to have a lot going on at once?,Do changes in your life shake you up?,"Do you notice and enjoy delicate or fine scents, tastes, sounds, works of art?","Are you bothered by intense stimuli, like loud noises or chaotic scenes?","When you must compete or be observed while performing a task, do you become so nervous or shaky that you do much worse than you would otherwise?",In most ways my life is close to my ideal,The conditions of my life are excellent,I am satisfied with my life,So far I have gotten the important things I want in life,"If I could live my life over, I would change almost nothing","Extraverted, enthusiastic","Critical, quarrelsome","Dependable, self-disciplined","Anxious, easily upset","Open to new experience, complex","Reserved, quiet","Sympathetic, warm","Disorganized, careless","Calm, emotionally stable","Conventional, unreactive"
2021-03-15 14:15:00+08:00,-1,,10,True,10,10,10.0,71,11,1.297316666666667,103.77109333333334,9,50.588,61,11,1314.0,25.938,24.625,0.5,2,1.2974095435360553,103.7711093980499,,72.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enth05,1999,Male,178,107.0,115,22,Yes,Extremely Dissatisfied,5,No,2,3,6,7,4,6,7,7,4,5,5,7,7,6,5,6,6,4,3,4,6,6,5,6,5,4,3,6,4
2021-03-15 14:41:00+08:00,0,SDE4,10,True,10,10,9.0,86,9,1.29654,103.770085,10,19.604,61,11,1315.0,29.188,33.875,1.5,3,1.2969562306954705,103.7703974809568,,85.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2357.4,696.84,126.02,0.0,7.56,1.84,,12.09,20.47,19.4,,,enth05,1999,Male,178,107.0,115,22,Yes,Extremely Dissatisfied,5,No,2,3,6,7,4,6,7,7,4,5,5,7,7,6,5,6,6,4,3,4,6,6,5,6,5,4,3,6,4
2021-03-15 15:21:00+08:00,-1,,11,True,10,10,,113,9,1.2966783333333334,103.77074,9,58.652,61,11,1316.0,29.312,34.75,43.5,6,1.2971362555566568,103.77055248001332,,108.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enth05,1999,Male,178,107.0,115,22,Yes,Extremely Dissatisfied,5,No,2,3,6,7,4,6,7,7,4,5,5,7,7,6,5,6,6,4,3,4,6,6,5,6,5,4,3,6,4
2021-03-16 08:03:00+08:00,0,SDE4,10,True,11,11,9.0,106,9,1.296555,103.770185,10,18.522,61,11,1317.0,27.0,33.5,2.25,3,1.2968884032755577,103.77033009006264,,97.33333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3920.76,1135.43,221.96,0.96,21.31,3.02,62.0,20.06,37.65,32.43,1007.02,27.78,enth05,1999,Male,178,107.0,115,22,Yes,Extremely Dissatisfied,5,No,2,3,6,7,4,6,7,7,4,5,5,7,7,6,5,6,6,4,3,4,6,6,5,6,5,4,3,6,4
2021-03-16 08:22:00+08:00,125,SDE1,11,True,11,11,10.0,92,11,1.2968833333333334,103.77042,10,13.784,61,11,1318.0,24.125,33.0,1.75,4,1.29706390630875,103.77059066818666,,91.16666666666667,0.0,24.471275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3417.11,989.98,189.19,0.89,15.7,4.48,,4.61,8.78,8.02,,,enth05,1999,Male,178,107.0,115,22,Yes,Extremely Dissatisfied,5,No,2,3,6,7,4,6,7,7,4,5,5,7,7,6,5,6,6,4,3,4,6,6,5,6,5,4,3,6,4
2021-03-16 09:37:00+08:00,125,SDE1,10,True,10,11,9.0,73,11,1.2970583333333332,103.77057666666668,9,18.493,61,11,1319.0,27.375,33.188,1.0,4,1.2970675026285496,103.77058463619151,,76.83333333333333,0.0,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2305.91,662.73,135.16,0.91,13.78,3.27,,2.95,5.76,5.18,,,enth05,1999,Male,178,107.0,115,22,Yes,Extremely Dissatisfied,5,No,2,3,6,7,4,6,7,7,4,5,5,7,7,6,5,6,6,4,3,4,6,6,5,6,5,4,3,6,4
2021-03-16 10:43:00+08:00,137,SDE1,11,True,10,11,10.0,71,9,1.2971116666666669,103.77070166666668,9,11.552,62,11,1320.0,27.25,32.438,1.25,4,1.2971079234781309,103.77058947480624,,70.11111111111111,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2317.96,667.38,127.09,0.51,6.29,2.95,,2.76,5.09,4.42,,,enth05,1999,Male,178,107.0,115,22,Yes,Extremely Dissatisfied,5,No,2,3,6,7,4,6,7,7,4,5,5,7,7,6,5,6,6,4,3,4,6,6,5,6,5,4,3,6,4
2021-03-16 12:15:00+08:00,130,SDE1,11,True,11,11,10.0,66,11,1.2971116666666669,103.77037166666666,9,14.248,62,11,1321.0,26.75,30.875,1.0,4,1.297145299212645,103.77039523459364,,64.85714285714286,9.0,,,,,,,,,,,,,,,,,,,,,,,80.7,22.1,65.8,920.0,20.0,5.8,77.1,62.3,awair-omni_16314,,,,,2269.76,680.52,110.93,0.0,9.14,1.12,58.0,12.98,20.43,18.84,1008.31,28.33,enth05,1999,Male,178,107.0,115,22,Yes,Extremely Dissatisfied,5,No,2,3,6,7,4,6,7,7,4,5,5,7,7,6,5,6,6,4,3,4,6,6,5,6,5,4,3,6,4
2021-03-16 13:35:00+08:00,130,SDE1,11,True,10,11,10.0,70,11,1.2971133333333331,103.77042333333333,9,10.24,62,10,1322.0,27.562,32.188,0.5,4,1.2971349779773398,103.77045792777366,,68.625,0.0,,,,,,,,,,,,,,,,,,,,,,,74.4,22.7,68.9,1422.8,20.0,5.7,260.0,61.3,awair-omni_16314,,,,,1969.82,589.57,85.25,0.0,4.79,1.12,60.0,11.07,16.23,15.12,1006.86,28.33,enth05,1999,Male,178,107.0,115,22,Yes,Extremely Dissatisfied,5,No,2,3,6,7,4,6,7,7,4,5,5,7,7,6,5,6,6,4,3,4,6,6,5,6,5,4,3,6,4
2021-03-16 17:40:00+08:00,134,SDE1,11,True,11,11,9.0,101,9,1.2969333333333333,103.77018833333334,10,8.835,62,11,1323.0,29.188,33.562,63.75,4,1.2971995611485754,103.77055023365016,,100.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3786.86,1116.97,111.76,0.0,7.78,1.58,62.0,20.61,28.64,27.34,1004.57,27.78,enth05,1999,Male,178,107.0,115,22,Yes,Extremely Dissatisfied,5,No,2,3,6,7,4,6,7,7,4,5,5,7,7,6,5,6,6,4,3,4,6,6,5,6,5,4,3,6,4
