time,space_id,faculty_name,fitbit.air-vel,fitbit.bodyPresence,fitbit.change,fitbit.clothing,fitbit.comfort,fitbit.heartRate,fitbit.indoorOutdoor,fitbit.lat,fitbit.lon,fitbit.met,fitbit.responseSpeed,fitbit.restingHR,fitbit.thermal,fitbit.voteLog,Steerpath.Accuracy,Steerpath.Floor,Steerpath.Latitude,Steerpath.Longitude,Steerpath.Space,fitbit_api.HR,fitbit_api.Steps,Skin Temp(℃),Ambient Temp(℃),Temperature(℃),Humidity(%),Light(lux),Voltage(V),WIFI RSSI(dBm),GSM RSSI(dBm),EXT1 Temperature(℃),EXT2 Temperature(℃),RS485 Temperature(℃),RS485 Humidity(%),VAV2-3|Temp at space_id: 201,VAV2-4|Temp at space_id: 201,VAV2-5|Temp at space_id: 201,VAV2-6|Temp at space_id: 201,VAV2-18|Temp at space_id: 202,VAV2-20|Temp at space_id: 203,VAV2-7N8|Temp at space_id: 204,VAV2-9N27|Temp at space_id: 204,VAV2-22|Temp at space_id: 206,VAV2-17|Temp at space_id: 207,VAV2-16|Temp at space_id: 207,VAV2-12|Temp at space_id: 208,score,temp(°C),humid,co2,voc,pm25,light,noise,device_uuid,senSING.humidity,senSING.light,senSING.noise,senSING.temperature,purpleair.0.3_um_count,purpleair.0.5_um_count,purpleair.1.0_um_count,purpleair.10.0_um_count,purpleair.2.5_um_count,purpleair.5.0_um_count,purpleair.humidity,purpleair.pm1.0,purpleair.pm10.0,purpleair.pm2.5,purpleair.pressure,purpleair.temperature,user_id,Year of birth (for example 1995),Sex,Height (cm),Weight (kg),Shoulder width (cm),How long have you been in Singapore (in years)?,Can you say that you are used to the weather in Singapore?,Can you say that you are satisfied with the weather in this city (outdoor weather conditions)?,Do you suffer from sweating in Singapore?,Do you enjoy being outdoor in Singapore?,What is your estimation of your time (hours) spent outdoor (per day) during the weekdays? (for example 2 hrs),What is your estimation of your time (hours) spent outdoor (per day) during the weekend? (for example 4 hrs),Do you seem to be aware of subtleties in your environment? ,"Are you easily overwhelmed by things like bright lights, strong smells, coarse fabrics, or sirens close by?","Do you have a rich, complex inner life?",Do you get rattled when you have a lot to do in a short amount of time?,Are you deeply moved by the arts or music?,Are you annoyed when people try to get you to do too many things at once?,Do you make a point to avoid violent movies and TV shows?,Do you find it unpleasant to have a lot going on at once?,Do changes in your life shake you up?,"Do you notice and enjoy delicate or fine scents, tastes, sounds, works of art?","Are you bothered by intense stimuli, like loud noises or chaotic scenes?","When you must compete or be observed while performing a task, do you become so nervous or shaky that you do much worse than you would otherwise?",In most ways my life is close to my ideal,The conditions of my life are excellent,I am satisfied with my life,So far I have gotten the important things I want in life,"If I could live my life over, I would change almost nothing","Extraverted, enthusiastic","Critical, quarrelsome","Dependable, self-disciplined","Anxious, easily upset","Open to new experience, complex","Reserved, quiet","Sympathetic, warm","Disorganized, careless","Calm, emotionally stable","Conventional, unreactive"
2021-03-29 16:17:00+08:00,6,SDE4,11,True,10,9,10,,11,,,9,12.549,60,10,14,4.25,6,1.2969870352328488,103.77016610555356,,,,32.812,29.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1324.0,368.95,49.73,0.3,2.72,0.3,65.0,6.1,9.2,8.58,1004.21,26.67,enth25,1999,Female,158,64.0,94,12,Yes,Slightly Dissatisfied,4,No,3,2,4,3,2,5,6,6,7,6,5,6,4,4,4,4,5,6,2,5,4,4,5,6,5,5,4,4,2
2021-03-29 19:02:00+08:00,6,SDE4,11,True,10,9,10,,11,,,10,28.791,60,10,15,7.25,6,1.2969850015016495,103.7702516905576,,,,33.25,28.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2406.0,706.29,106.68,0.93,8.22,2.1,,12.1,20.29,18.58,,,enth25,1999,Female,158,64.0,94,12,Yes,Slightly Dissatisfied,4,No,3,2,4,3,2,5,6,6,7,6,5,6,4,4,4,4,5,6,2,5,4,4,5,6,5,5,4,4,2
2021-03-31 15:42:00+08:00,6,SDE4,11,True,10,9,10,,11,1.2967566666666666,103.77020666666668,9,15.187,60,10,16,2.75,6,1.2969517088674762,103.7703278436995,,,,33.5,28.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101.34,322.72,37.66,0.25,2.91,0.51,,5.19,7.91,7.49,,,enth25,1999,Female,158,64.0,94,12,Yes,Slightly Dissatisfied,4,No,3,2,4,3,2,5,6,6,7,6,5,6,4,4,4,4,5,6,2,5,4,4,5,6,5,5,4,4,2
2021-03-31 16:38:00+08:00,6,SDE4,11,True,10,9,10,,11,1.296755,103.77019833333334,9,9.314,60,10,17,2.0,6,1.2969585305695164,103.77029488244548,,,,32.688,28.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1223.59,348.72,38.24,0.17,4.24,0.34,44.0,6.14,8.69,8.21,1001.48,32.22,enth25,1999,Female,158,64.0,94,12,Yes,Slightly Dissatisfied,4,No,3,2,4,3,2,5,6,6,7,6,5,6,4,4,4,4,5,6,2,5,4,4,5,6,5,5,4,4,2
2021-03-31 18:01:00+08:00,57,SDE4,11,True,11,9,10,,11,1.296775,103.77022833333334,9,26.499,60,10,18,2.25,6,1.2969339747193531,103.77045925594308,,,,33.438,29.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843.45,251.74,28.98,0.0,1.57,0.21,,3.85,5.62,5.53,,,enth25,1999,Female,158,64.0,94,12,Yes,Slightly Dissatisfied,4,No,3,2,4,3,2,5,6,6,7,6,5,6,4,4,4,4,5,6,2,5,4,4,5,6,5,5,4,4,2
2021-03-31 18:32:00+08:00,6,SDE4,11,True,10,9,10,,11,1.296775,103.77022666666667,9,22.26,60,10,19,1.25,6,1.296956159730034,103.77031605029302,,,,33.188,28.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.04,232.3,28.09,0.0,2.02,0.77,,2.87,5.15,4.53,,,enth25,1999,Female,158,64.0,94,12,Yes,Slightly Dissatisfied,4,No,3,2,4,3,2,5,6,6,7,6,5,6,4,4,4,4,5,6,2,5,4,4,5,6,5,5,4,4,2
2021-03-31 21:21:00+08:00,6,SDE4,10,True,11,9,9,,11,1.296955,103.77061333333332,10,22.191,60,11,20,2.25,6,1.296975730662863,103.7702626991685,,,,34.188,30.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984.46,277.69,31.59,0.0,2.71,0.36,45.0,4.58,6.95,6.39,1002.76,31.11,enth25,1999,Female,158,64.0,94,12,Yes,Slightly Dissatisfied,4,No,3,2,4,3,2,5,6,6,7,6,5,6,4,4,4,4,5,6,2,5,4,4,5,6,5,5,4,4,2
2021-03-31 21:51:00+08:00,6,SDE4,10,True,10,9,9,,11,1.297205,103.77039833333332,9,8.489,60,11,21,2.25,6,1.296975730662863,103.7702626991685,,,,35.312,30.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988.55,292.41,39.48,0.24,3.41,0.95,,4.79,7.6,6.98,,,enth25,1999,Female,158,64.0,94,12,Yes,Slightly Dissatisfied,4,No,3,2,4,3,2,5,6,6,7,6,5,6,4,4,4,4,5,6,2,5,4,4,5,6,5,5,4,4,2
2021-04-01 10:58:00+08:00,6,SDE4,10,True,11,9,10,,11,1.29678,103.77021166666668,10,45.289,60,11,22,2.0,6,1.2969814624461085,103.77021796495256,,,,33.562,29.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1370.02,407.11,52.11,0.0,6.42,1.49,,6.25,10.4,9.33,,,enth25,1999,Female,158,64.0,94,12,Yes,Slightly Dissatisfied,4,No,3,2,4,3,2,5,6,6,7,6,5,6,4,4,4,4,5,6,2,5,4,4,5,6,5,5,4,4,2
2021-04-01 11:34:00+08:00,6,SDE4,10,True,10,9,10,,11,1.296775,103.77022333333332,9,11.885,60,11,23,7.25,6,1.2969779915768604,103.77025820644222,,,,34.688,30.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660.88,200.95,26.0,0.0,1.45,0.26,,3.1,4.43,4.24,,,enth25,1999,Female,158,64.0,94,12,Yes,Slightly Dissatisfied,4,No,3,2,4,3,2,5,6,6,7,6,5,6,4,4,4,4,5,6,2,5,4,4,5,6,5,5,4,4,2
